Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
18490,06/2013,185000,320,135,bmw,2013,gris,,gris,,,,,berline,5,5,2.979cm³,boîteautomatique
20989,03/2013,119000,320,135,bmw,2013,bleu,alcantaragris,bleu,metallise,,,alcantaragris,berline,5,5,2.979cm³,boîteautomatique
43500,10/2019,18400,306,135,bmw,2019,bleu,tissunoir,bleu,metallise,misanoblau,,tissunoir,berline,5,5,1.998cm³,boîteautomatique
49900,07/2019,7926,306,135,bmw,2019,gris,cuirnoir,gris,metallise,grijs,,cuirnoir,berline,5,,1.998cm³,boîteautomatique
55880,-/-,,306,135,bmw,,,cuirnoir,,metallise,stormbaymetallic(c3nm),allemagne,cuirnoir,berline,4,5,1.998cm³,boîteautomatique
18900,04/2008,143901,306,135,bmw,2008,rouge,cuirnoir,rouge,metallise,rood,,cuirnoir,coupe,2,4,2.979cm³,boîtemanuelle
20990,02/2015,69950,320,135,bmw,2015,gris,alcantaranoir,gris,metallise,mineralgraumetallic,allemagne,alcantaranoir,berline,5,5,2.979cm³,boîtemanuelle
21960,01/2015,84799,320,135,bmw,2015,blanc,alcantaranoir,blanc,,alpinweiss,,alcantaranoir,berline,3,5,2.979cm³,boîtemanuelle
22800,11/2013,84000,306,135,bmw,2013,blanc,cuirbrun,blanc,metallise,alpinweiß,,cuirbrun,coupe,2,4,2.979cm³,boîtemanuelle
22880,11/2013,137309,320,135,bmw,2013,noir,tissu,noir,metallise,saphirschwarz,,tissu,citadine,5,,2.979cm³,boîteautomatique
23980,03/2014,80000,320,135,bmw,2014,gris,cuirnoir,gris,metallise,mineralgraumetallic,,cuirnoir,berline,4,5,2.979cm³,boîteautomatique
25990,09/2013,91000,320,135,bmw,2013,noir,,noir,,,,,berline,5,,2.979cm³,boîteautomatique
26000,04/2015,98000,326,135,bmw,2015,blanc,,blanc,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
26900,04/2016,58920,326,135,bmw,2016,noir,alcantaranoir,noir,metallise,blacksapphiremetallic,allemagne,alcantaranoir,citadine,3,5,2.979cm³,boîteautomatique
28950,09/2013,68300,320,135,bmw,2013,gris,tissunoir,gris,metallise,grijs,pays-bas,tissunoir,citadine,5,,2.979cm³,boîteautomatique
29740,03/2016,26604,326,135,bmw,2016,noir,cuir,noir,metallise,schwarz,,cuir,berline,5,,,boîteautomatique
29990,01/2016,59862,326,135,bmw,2016,argent,alcantaranoir,argent,metallise,,,alcantaranoir,berline,5,5,2.979cm³,boîteautomatique
43990,07/2019,6645,306,135,bmw,2019,bleu,alcantaranoir,bleu,metallise,stormbaymetallic,,alcantaranoir,berline,4,5,1.998cm³,boîteautomatique
45300,02/2020,3895,306,135,bmw,2020,gris,,gris,,gris,,,citadine,5,4,1.998cm³,boîteautomatique
50890,02/2020,,306,135,bmw,2020,gris,,gris,,gris,,,citadine,5,4,1.998cm³,boîteautomatique
50900,10/2019,6001,306,135,bmw,2019,noir,cuirnoir,noir,metallise,zwart,,cuirnoir,berline,5,,1.998cm³,boîteautomatique
54900,01/2020,5000,306,135,bmw,2020,gris,cuir,gris,metallise,mineralgrau,,cuir,citadine,5,5,1.998cm³,boîteautomatique
57468,-/-,,306,135,bmw,,noir,tissunoir,noir,metallise,blacksapphire,allemagne,tissunoir,berline,5,5,1.998cm³,boîteautomatique
16990,09/2012,163324,320,135,bmw,2012,blanc,alcantaranoir,blanc,,alpinweiss3,allemagne,alcantaranoir,berline,2,5,2.979cm³,boîteautomatique
16990,03/2009,119999,306,135,bmw,2009,bleu,cuirnoir,bleu,metallise,le-mans-blaumetallic,,cuirnoir,coupe,2,4,2.979cm³,boîteautomatique
22135,02/2014,104800,320,135,bmw,2014,noir,,noir,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
24900,05/2013,134025,320,135,bmw,2013,blanc,,blanc,,blanco,,,citadine,3,5,2.979cm³,boîteautomatique
25490,01/2010,70400,306,135,bmw,2010,blanc,cuirpartielnoir,blanc,,alpinweiss3,,cuirpartielnoir,coupe,2,4,2.979cm³,boîtemanuelle
47500,07/2019,8500,307,135,bmw,2019,gris,alcantara,gris,,gris,,alcantara,berline,5,5,1.998cm³,boîteautomatique
56990,-/-,,306,135,bmw,,gris,cuirnoir,gris,metallise,bmwindividualstormbay,,cuirnoir,berline,5,5,1.998cm³,boîteautomatique
