Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
47500,10/2015,79000,450,rs4,audi,2015,gris,cuir,gris,metallise,gris,,cuir,break,5,5,4.163cm³,boîteautomatique
47890,01/2015,55900,450,rs4,audi,2015,gris,cuirnoir,gris,metallise,daytonagrauperleffekt,allemagne,cuirnoir,break,5,5,4.163cm³,boîteautomatique
48500,06/2015,77000,450,rs4,audi,2015,noir,,noir,metallise,,,,break,5,5,4.163cm³,boîteautomatique
51900,04/2016,63000,450,rs4,audi,2016,gris,cuirnoir,gris,metallise,suzukagraumetallic,allemagne,cuirnoir,break,5,5,4.163cm³,boîteautomatique
54950,01/2015,89242,450,rs4,audi,2015,bleu,cuir,bleu,metallise,blauw,,cuir,break,4,5,4.163cm³,boîteautomatique
63970,11/2017,10742,450,rs4,audi,2017,rouge,cuirnoir,rouge,metallise,misanorotperleffekt,,cuirnoir,break,4,5,2.894cm³,boîteautomatique
65926,11/2017,29996,450,rs4,audi,2017,rouge,cuirnoir,rouge,metallise,misanorotperleffekt,allemagne,cuirnoir,break,5,5,2.894cm³,boîteautomatique
68900,11/2017,11955,450,rs4,audi,2017,vert,cuirnoir,vert,metallise,verde,,cuirnoir,break,5,5,2.894cm³,boîteautomatique
71900,12/2017,18679,450,rs4,audi,2017,bleu,cuir,bleu,metallise,blu,,cuir,break,5,5,2.894cm³,boîteautomatique
73990,11/2017,16500,450,rs4,audi,2017,rouge,cuirnoir,rouge,metallise,misanorotperleffekt,allemagne,cuirnoir,break,4,5,2.894cm³,boîteautomatique
74900,12/2017,17731,450,rs4,audi,2017,bleu,cuirgris,bleu,metallise,blunavarra,,cuirgris,break,5,5,2.894cm³,boîteautomatique
76450,11/2017,21935,450,rs4,audi,2017,noir,cuirnoir,noir,metallise,mythosschwarz,,cuirnoir,break,5,5,2.894cm³,boîteautomatique
92500,11/2017,4098,450,rs4,audi,2017,rouge,cuirnoir,rouge,metallise,misanoroodpareleffectpa,,cuirnoir,break,5,5,2.894cm³,boîteautomatique
