Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
9500,06/2005,113000,150,z4,bmw,2005,brun,,brun,metallise,marrón,,,coupe,2,2,1.995cm³,boîtemanuelle
9850,03/2008,144083,150,z4,bmw,2008,noir,cuirbeige,noir,,nero,,cuirbeige,autres,,2,1.995cm³,boîtemanuelle
9990,04/2004,176900,170,z4,bmw,2004,noir,cuirnoir,noir,,,belgique,cuirnoir,cabriolet,2,2,2.171cm³,boîtemanuelle
9999,07/2003,197226,231,z4,bmw,2003,noir,cuirbeige,noir,metallise,zwart,,cuirbeige,cabriolet,2,2,2.979cm³,boîtemanuelle
10400,06/2007,112000,150,z4,bmw,2007,bleu,,bleu,metallise,azul,,,coupe,2,2,1.995cm³,boîtemanuelle
10750,11/2003,173000,231,z4,bmw,2003,gris,,gris,,,,,cabriolet,2,2,2.979cm³,boîtemanuelle
10990,03/2006,165000,177,z4,bmw,2006,noir,cuir,noir,,schwarz,,cuir,cabriolet,2,2,2.497cm³,boîtemanuelle
11950,01/2004,139988,231,z4,bmw,2004,noir,cuir,noir,metallise,zwart,pays-bas,cuir,cabriolet,2,2,2.979cm³,boîteautomatique
12800,01/2003,146683,232,z4,bmw,2003,gris,cuirnoir,gris,metallise,grijs,,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
13700,05/2009,69000,150,z4,bmw,2009,argent,,argent,metallise,argento,,,cabriolet,2,2,1.995cm³,boîtemanuelle
13890,06/2008,170000,265,z4,bmw,2008,bleu,,bleu,metallise,azul,,,coupe,2,2,2.996cm³,boîtemanuelle
14990,01/2008,53763,150,z4,bmw,2008,gris,,gris,,,,,cabriolet,2,,,boîtemanuelle
15500,04/2007,148000,265,z4,bmw,2007,noir,cuirnoir,noir,metallise,,,cuirnoir,cabriolet,2,2,2.996cm³,boîteautomatique
15950,10/2009,135600,258,z4,bmw,2009,noir,cuirbeige,noir,metallise,blacksapphiremetallic,allemagne,cuirbeige,cabriolet,2,,2.996cm³,boîtemanuelle
16500,08/2003,51612,231,z4,bmw,2003,rouge,,rouge,metallise,granate,,,coupe,2,2,2.979cm³,boîtemanuelle
16900,06/2006,174000,265,z4,bmw,2006,bleu,cuir,bleu,metallise,,,cuir,cabriolet,2,2,2.996cm³,boîtemanuelle
16900,12/2014,101174,184,z4,bmw,2014,gris,,gris,metallise,grigiometallizzato,,,cabriolet,2,2,1.997cm³,boîtemanuelle
17900,09/2011,113000,184,z4,bmw,2011,noir,,noir,uni,.nero-54,,,cabriolet,2,2,1.997cm³,boîtemanuelle
18000,12/2006,21440,177,z4,bmw,2006,noir,cuirbrun,noir,metallise,blacksaphire,,cuirbrun,cabriolet,2,2,2.497cm³,boîteautomatique
18590,01/2013,59700,184,z4,bmw,2013,gris,tissunoir,gris,metallise,spacegraumetallic,allemagne,tissunoir,cabriolet,2,2,1.998cm³,boîtemanuelle
18890,03/2012,133000,258,z4,bmw,2012,noir,tissunoir,noir,metallise,blacksapphiremetallic,,tissunoir,cabriolet,2,2,2.996cm³,boîtemanuelle
18900,03/2011,140020,204,z4,bmw,2011,blanc,cuirnoir,blanc,,bianco,,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
19000,01/2010,97000,204,z4,bmw,2010,gris,cuirbeige,gris,metallise,,,cuirbeige,coupe,2,2,2.497cm³,boîtemanuelle
19500,09/2009,72244,204,z4,bmw,2009,blanc,,blanc,,,,,cabriolet,2,2,2.497cm³,boîtemanuelle
19500,08/2003,54700,230,z4,bmw,2003,gris,cuirnoir,gris,metallise,,france,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
19900,06/2004,62958,231,z4,bmw,2004,blanc,,blanc,,blanc,,,citadine,2,2,2.979cm³,boîtemanuelle
19944,05/2009,91158,258,z4,bmw,2009,brun,cuirgris,brun,metallise,bruin,,cuirgris,cabriolet,2,2,2.996cm³,boîteautomatique
19950,03/2012,107562,245,z4,bmw,2012,noir,,noir,metallise,,,,cabriolet,2,2,1.997cm³,boîtemanuelle
19990,02/2008,73000,265,z4,bmw,2008,gris,,gris,,,france,,coupe,2,2,2.996cm³,boîteautomatique
20150,10/2014,47750,156,z4,bmw,2014,blanc,,blanc,,,,,cabriolet,2,2,1.997cm³,boîtemanuelle
20990,03/2011,115000,204,z4,bmw,2011,noir,cuirbeige,noir,metallise,,,cuirbeige,cabriolet,2,2,2.497cm³,boîtemanuelle
21890,11/2009,96700,204,z4,bmw,2009,noir,cuirnoir,noir,metallise,,,cuirnoir,cabriolet,2,2,2.497cm³,boîteautomatique
21900,05/2009,85000,306,z4,bmw,2009,gris,cuirnoir,gris,metallise,grigiometallizzato,,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
21950,08/2010,77100,204,z4,bmw,2010,noir,cuirnoir,noir,metallise,blacksapphiremetallic,allemagne,cuirnoir,cabriolet,2,2,2.497cm³,boîteautomatique
23900,01/2011,42000,204,z4,bmw,2011,gris,cuirnoir,gris,metallise,spacegraumet.,,cuirnoir,cabriolet,2,2,2.497cm³,boîteautomatique
23950,12/2014,57860,245,z4,bmw,2014,blanc,cuirnoir,blanc,metallise,mineralweißmetallic,,cuirnoir,cabriolet,2,2,1.997cm³,boîtemanuelle
23990,06/2015,99000,184,z4,bmw,2015,gris,cuirbeige,gris,metallise,mineral,belgique,cuirbeige,cabriolet,2,2,1.997cm³,boîteautomatique
24900,11/2009,67165,306,z4,bmw,2009,blanc,,blanc,,blanco,,,coupe,2,2,2.979cm³,boîteautomatique
24990,09/2011,69986,258,z4,bmw,2011,blanc,cuirnoir,blanc,,alpinweiss3,allemagne,cuirnoir,cabriolet,2,2,2.996cm³,boîtemanuelle
25490,06/2012,47800,245,z4,bmw,2012,argent,cuirnoir,argent,metallise,,,cuirnoir,cabriolet,2,2,1.997cm³,boîtemanuelle
47460,05/2019,10989,258,z4,bmw,2019,noir,cuirbrun,noir,metallise,saphirschwarzmetallic,,cuirbrun,cabriolet,2,2,1.998cm³,boîteautomatique
47890,03/2020,,197,z4,bmw,2020,argent,cuirnoir,argent,metallise,glaciersilber,,cuirnoir,cabriolet,2,2,1.998cm³,boîteautomatique
48900,01/2019,8359,197,z4,bmw,2019,bleu,cuirbeige,bleu,metallise,,,cuirbeige,cabriolet,2,2,1.998cm³,boîteautomatique
51600,-/-,,340,z4,bmw,,blanc,alcantara,blanc,,wählbar,unioneuropeenne,alcantara,cabriolet,2,2,2.998cm³,boîteautomatique
51900,11/2019,4000,197,z4,bmw,2019,noir,cuirbrun,noir,metallise,saphirschwarz,espagne,cuirbrun,cabriolet,2,2,1.998cm³,boîteautomatique
53950,-/-,,197,z4,bmw,,gris,cuirnoir,gris,metallise,grijs,,cuirnoir,cabriolet,2,,1.998cm³,boîteautomatique
54790,-/-,,258,z4,bmw,,blanc,cuirnoir,blanc,,alpinweiß,allemagne,cuirnoir,cabriolet,2,2,1.998cm³,boîteautomatique
55600,03/2019,6001,258,z4,bmw,2019,bleu,cuirnoir,bleu,metallise,blumetallizzato,,cuirnoir,cabriolet,2,2,1.998cm³,boîteautomatique
56490,06/2019,8000,262,z4,bmw,2019,,,,metallise,saphirschwarzmetallise,,,cabriolet,2,2,1.998cm³,boîteautomatique
58345,-/-,,197,z4,bmw,,noir,cuirnoir,noir,metallise,nero,,cuirnoir,cabriolet,2,2,1.998cm³,boîteautomatique
59225,03/2020,,200,z4,bmw,2020,,,,metallise,saphirschwarzmetallise,,,cabriolet,2,,1.998cm³,boîteautomatique
59990,10/2019,2000,262,z4,bmw,2019,blanc,,blanc,,alpinweissuni,,,cabriolet,2,2,1.998cm³,boîteautomatique
60131,-/-,,197,z4,bmw,,blanc,cuir,blanc,,alpinweiß,,cuir,autres,2,2,1.998cm³,boîteautomatique
60950,02/2019,17814,340,z4,bmw,2019,rouge,cuir,rouge,metallise,sanfranciscorot,,cuir,cabriolet,2,,2.998cm³,boîteautomatique
61700,10/2019,1000,340,z4,bmw,2019,rouge,,rouge,,rojo,,,coupe,2,2,2.998cm³,boîteautomatique
61999,01/2020,,262,z4,bmw,2020,,,,metallise,saphirschwarzmetallise,,,cabriolet,2,,1.998cm³,boîteautomatique
62875,03/2019,17517,340,z4,bmw,2019,rouge,cuir,rouge,metallise,sanfranciscoredmetalli,pays-bas,cuir,cabriolet,2,2,2.998cm³,boîteautomatique
66717,-/-,,258,z4,bmw,,blanc,cuirnoir,blanc,metallise,alpinweiss3,allemagne,cuirnoir,cabriolet,2,2,1.998cm³,boîteautomatique
68800,09/2019,1255,345,z4,bmw,2019,,,,metallise,saphirschwarzmetallise,,,cabriolet,2,,2.998cm³,boîteautomatique
5740,12/2005,307038,150,z4,bmw,2005,noir,cuirbeige,noir,,zwart,,cuirbeige,cabriolet,2,2,1.995cm³,boîtemanuelle
5990,07/2004,199658,170,z4,bmw,2004,noir,cuirgris,noir,metallise,saphir-schwarz,,cuirgris,cabriolet,2,2,2.171cm³,boîtemanuelle
7450,04/2005,168000,170,z4,bmw,2005,argent,cuirnoir,argent,metallise,titansilbermetallic,,cuirnoir,cabriolet,2,2,2.171cm³,boîtemanuelle
7990,03/2005,162500,170,z4,bmw,2005,gris,tissunoir,gris,metallise,sterlinggraumetallic,,tissunoir,cabriolet,2,2,2.171cm³,boîtemanuelle
8990,06/2003,168000,231,z4,bmw,2003,gris,,gris,metallise,gris,,,coupe,2,2,2.979cm³,boîtemanuelle
8990,05/2005,122604,170,z4,bmw,2005,gris,cuirnoir,gris,metallise,sterlinggraumetallic,,cuirnoir,cabriolet,2,2,2.171cm³,boîtemanuelle
9800,03/2006,176300,218,z4,bmw,2006,noir,cuir,noir,metallise,blacksapphire,allemagne,cuir,cabriolet,2,2,2.497cm³,boîtemanuelle
9950,11/2007,168000,150,z4,bmw,2007,,,,,,,,coupe,2,2,1.995cm³,boîtemanuelle
10599,11/2006,78900,150,z4,bmw,2006,noir,cuirnoir,noir,,,,cuirnoir,cabriolet,,,1.995cm³,
11990,03/2004,142020,192,z4,bmw,2004,gris,cuirnoir,gris,metallise,sterling-grau,,cuirnoir,cabriolet,2,2,2.494cm³,boîtemanuelle
12500,06/2003,121900,192,z4,bmw,2003,gris,cuirpartielbeige,gris,metallise,sterlinggraumetallic,allemagne,cuirpartielbeige,cabriolet,2,2,2.494cm³,boîtemanuelle
13900,04/2010,159982,204,z4,bmw,2010,noir,cuirnoir,noir,metallise,black-sapphire-metallic,allemagne,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
13950,04/2003,79838,231,z4,bmw,2003,gris,cuir,gris,metallise,,,cuir,cabriolet,2,,2.979cm³,boîteautomatique
15945,05/2008,151350,265,z4,bmw,2008,blanc,cuirrouge,blanc,,alpinweiss3,,cuirrouge,coupe,3,2,2.996cm³,boîteautomatique
16900,06/2006,91000,265,z4,bmw,2006,vert,,vert,,verde,,,coupe,2,2,2.996cm³,boîteautomatique
17750,09/2009,70600,204,z4,bmw,2009,blanc,cuirautres,blanc,,alpinweiß,,cuirautres,cabriolet,2,2,2.497cm³,boîtemanuelle
17950,06/2013,99000,163,z4,bmw,2013,gris,cuirnoir,gris,metallise,,,cuirnoir,cabriolet,2,2,1.997cm³,boîtemanuelle
18950,07/2004,87535,232,z4,bmw,2004,gris,cuirnoir,gris,metallise,grijs,pays-bas,cuirnoir,cabriolet,2,2,2.979cm³,boîteautomatique
19700,08/2013,98000,156,z4,bmw,2013,gris,alcantara,gris,metallise,mineralgraumetallic,allemagne,alcantara,cabriolet,2,2,1.997cm³,boîteautomatique
19900,03/2010,116033,204,z4,bmw,2010,bleu,cuirnoir,bleu,metallise,blauw,pays-bas,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
21490,05/2007,69900,265,z4,bmw,2007,noir,cuirbrun,noir,metallise,blacksapphiremetallic,,cuirbrun,coupe,2,2,2.996cm³,boîteautomatique
21500,08/2013,98000,156,z4,bmw,2013,gris,alcantara,gris,metallise,mineralgraumetallic,allemagne,alcantara,cabriolet,2,2,1.997cm³,boîteautomatique
21900,03/2009,64000,265,z4,bmw,2009,bleu,,bleu,metallise,azul,,,coupe,2,2,2.996cm³,boîteautomatique
21990,07/2011,43350,204,z4,bmw,2011,blanc,cuirnoir,blanc,,alpinweiss3,,cuirnoir,cabriolet,2,2,2.497cm³,boîtemanuelle
