Vente,VenteYear,marque,annee,modele,Price
Abu Dhabi,2019,mercedes benz,2009,sl 65 amg black series,161000
Abu Dhabi,2019,ferrari,1973,365 gtb/4 daytona berlinetta by scaglietti,484375
Abu Dhabi,2019,ferrari,2015,458 speciale a,411250
Abu Dhabi,2019,aston martin,2011,one 77,1440625
Abu Dhabi,2019,ferrari,2002,f2002,6643750
Abu Dhabi,2019,mercedes benz,1956,300 sl gullwing,1581250
Abu Dhabi,2019,ferrari,1982,126 c2,2143750
Abu Dhabi,2019,porsche,1993,911 reimagined by singer,825000
Abu Dhabi,2019,ferrari,1997,f355 berlinetta,115000
Abu Dhabi,2019,porsche,1993,911 carrera rsr 3.8,782500
Abu Dhabi,2019,ferrari,2015,fxx k,4281250
Abu Dhabi,2019,mercedes benz,2015,g63 amg 6×6,748750
Abu Dhabi,2019,bmw,2001,z8,235750
