Vente,VenteYear,marque,annee,modele,Price
Amelia Island,2014,bmw,1958,600,55000
Amelia Island,2014,ferrari,2001,360 challenge,90750
Amelia Island,2014,ferrari,1972,365 gtc/4,335500
Amelia Island,2014,aston martin,1939,15/98 short chassis open sports,616000
Amelia Island,2014,mercedes benz,1957,300 sl roadster,1842500
Amelia Island,2014,ferrari,1974,dino 246 gts,429000
Amelia Island,2014,mercedes benz,1931,370 s mannheim sport cabriolet,671000
Amelia Island,2014,porsche,1986,959  vorserie,687500
Amelia Island,2014,porsche,2005,carrera gt,478500
Amelia Island,2014,aston martin,1960,db4,462000
Amelia Island,2014,ferrari,1983,512 bbi,220000
Amelia Island,2014,mercedes benz,2008,slr mclaren roadster,275000
Amelia Island,2014,mercedes benz,1961,190 sl roadster,143000
Amelia Island,2014,porsche,1957,356 a 1600 speedster by reutter,253000
Amelia Island,2014,mercedes benz,1971,280 se 3.5 cabriolet,335500
Amelia Island,2014,bmw,1958,507 series ii roadster,2420000
Amelia Island,2014,ferrari,1961,250 gt series ii cabriolet by pininfarina,1760000
Amelia Island,2014,maserati,1970,ghibli spyder,605000
Amelia Island,2014,porsche,1959,356 a 1600 super convertible d by drauz,159500
Amelia Island,2014,ferrari,1972,365 gtb/4 daytona berlinetta,781000
Amelia Island,2014,ferrari,1994,512 tr,143000
Amelia Island,2014,porsche,1960,356 b 1600 roadster by drauz,214500
