Vente,VenteYear,marque,annee,modele,Price
Arizona,2013,porsche,1955,356 speedster by reutter karosserie,170500
Arizona,2013,ferrari,1968,365 gt 2+2 coupe,148500
Arizona,2013,mercedes benz,1958,300sc coupe,275000
Arizona,2013,aston martin,1960,db4 series ii,291500
Arizona,2013,mercedes benz,1955,300sl gullwing,847000
Arizona,2013,aston martin,2003,db ar1 by carrozzeria zagato,143000
Arizona,2013,alfa romeo,1939,6c 2300b corto spider in the style of touring,440000
Arizona,2013,ferrari,1954,250 europa coupe by carrozzeria pinin farina,1017500
Arizona,2013,ferrari,1969,365 gtc,726000
Arizona,2013,porsche,1960,356b roadster by drauz karosserie,140000
Arizona,2013,ferrari,1972,365 gtb/4 daytona,412500
Arizona,2013,mercedes benz,1956,300sc cabriolet,990000
Arizona,2013,ferrari,1967,275 gtb/4 by carrozzeria scaglietti,1842500
Arizona,2013,aston martin,1964,db5,407000
Arizona,2013,maserati,1972,ghibli 4.9 ss coupe,137500
Arizona,2013,ferrari,1966,275 gtb by carrozzeria scaglietti,1320000
Arizona,2013,mercedes benz,1962,300sl roadster,836000
Arizona,2013,ferrari,1972,365 gtc/4,176000
Arizona,2013,ferrari,1960,250 gt swb berlinetta  competizione  by carrozzeria scaglietti,8140000
Arizona,2013,mercedes benz,1958,190 sl roadster,129250
Arizona,2013,ferrari,2003,enzo,1320000
Arizona,2013,ferrari,1973,dino 246 gts  chairs & flares,400000
Arizona,2013,ferrari,1967,330 gt 2+2 series ii,192500
Arizona,2013,mercedes benz,1969,280sl roadster,93500
