Vente,VenteYear,marque,annee,modele,Price
Auburn Fall,2017,porsche,,related titles and collectables,230
Auburn Fall,2017,porsche,,models various colors and model years.,115
Auburn Fall,2017,porsche,,models various years colors and makes,144
Auburn Fall,2017,porsche,,s various models and years,86
Auburn Fall,2017,porsche,,s various colors and model years.,144
Auburn Fall,2017,porsche,,toy cars 1/24 scale mostly various years makes and models,144
Auburn Fall,2017,porsche,,boxed models together with others,58
Auburn Fall,2017,porsche,,rc cars for display only together with two remote controlled miniature helicopters.,173
Auburn Fall,2017,porsche,,parts and spares with,23
Auburn Fall,2017,porsche,,dealership rs 60 posters.,29
Auburn Fall,2017,porsche,,wins road america can am linen back to poster,58
Auburn Fall,2017,porsche,,racing posters.,115
Auburn Fall,2017,porsche,,racing themed posters,46
Auburn Fall,2017,porsche,,visual identification posters all racing cars all road cars,58
Auburn Fall,2017,porsche,,three panel posters,29
Auburn Fall,2017,porsche,,dealer posters,58
Auburn Fall,2017,mercedes benz,1976,450 sl,7150
Auburn Fall,2017,mercedes benz,1992,500 sl,8800
Auburn Fall,2017,mercedes benz,1986,560 sl,4675
Auburn Fall,2017,bmw,2001,m3,14000
Auburn Fall,2017,mercedes benz,2003,cl 55 amg,13200
Auburn Fall,2017,mercedes benz,2000,sl 500 roadster,8030
Auburn Fall,2017,mercedes benz,1984,280 sl,14025
Auburn Fall,2017,porsche,1999,boxster,6875
Auburn Fall,2017,porsche,2002,911 carrera,18700
