Vente,VenteYear,marque,annee,modele,Price
Auburn Spring,2012,mercedes benz,1980,450slc,13310
Auburn Spring,2012,mercedes benz,1990,roadster,5700
Auburn Spring,2012,porsche,1977,924,4510
Auburn Spring,2012,ferrari,1991,348ts,31900
Auburn Spring,2012,mercedes benz,1974,450sl,4400
Auburn Spring,2012,porsche,1963,356,29700
Auburn Spring,2012,porsche,1979,928,8910
Auburn Spring,2012,mercedes benz,1983,380sl,3630
Auburn Spring,2012,porsche,2000,"911 carrera 4 ""millennium edition""",26950
Auburn Spring,2012,bmw,1958,isetta,19800
Auburn Spring,2012,mercedes benz,1995,500sl,11000
