Vente,VenteYear,marque,annee,modele,Price
Automobiles of Amelia Island,2010,bmw,1958,600,74250
Automobiles of Amelia Island,2010,porsche,1964,356c coupe,63250
Automobiles of Amelia Island,2010,mercedes benz,1955,300b cabriolet,112750
Automobiles of Amelia Island,2010,ferrari,1971,365 gtb/4 daytona spyder,1017500
Automobiles of Amelia Island,2010,ferrari,1967,275 gtb/4 alloy berlinetta,1265000
Automobiles of Amelia Island,2010,bmw,1960,isetta 300,30250
Automobiles of Amelia Island,2010,mercedes benz,1970,600 swb limousine,66000
Automobiles of Amelia Island,2010,aston martin,2003,db ar1 zagato roadster,148500
Automobiles of Amelia Island,2010,ferrari,1994,348 gt michelotto competizione,82500
Automobiles of Amelia Island,2010,mercedes benz,1955,300sl coupe,687500
Automobiles of Amelia Island,2010,ferrari,1967,275 gtb/4 berlinetta,1650000
Automobiles of Amelia Island,2010,ferrari,1967,330 gts,495000
Automobiles of Amelia Island,2010,ferrari,1963,250 gte,154000
Automobiles of Amelia Island,2010,ferrari,1959,250 gt coupe,165000
Automobiles of Amelia Island,2010,mercedes benz,1953,220 cabriolet a,143000
Automobiles of Amelia Island,2010,mercedes benz,1971,280se 3.5 cabriolet,143000
