Vente,VenteYear,marque,annee,modele,Price
Automobiles of Arizona,2009,alfa romeo,1967,duetto spider,46200
Automobiles of Arizona,2009,ferrari,1983,512 bbi,95700
Automobiles of Arizona,2009,porsche,1964,356c cabriolet,110000
Automobiles of Arizona,2009,ferrari,1959,250 gt series ii cabriolet,375000
Automobiles of Arizona,2009,porsche,1956,356 speedster,137500
Automobiles of Arizona,2009,mercedes benz,1955,300sl coupe,467500
Automobiles of Arizona,2009,ferrari,1967,275 gtb/4 berlinetta,918500
Automobiles of Arizona,2009,alfa romeo,1949,6c 2500 super sport coupe,198000
Automobiles of Arizona,2009,ferrari,1964,250 gt/l berlinetta,550000
Automobiles of Arizona,2009,ferrari,1966,275 gts,385000
Automobiles of Arizona,2009,ferrari,1992,f40,429000
Automobiles of Arizona,2009,maserati,1972,ghibli 4.9 ss coupe,93500
Automobiles of Arizona,2009,porsche,1954,"sports racing special ""the pup""",121000
Automobiles of Arizona,2009,porsche,1965,"356c outlaw custom coupe ""the bonneville""",82500
Automobiles of Arizona,2009,bmw,1957,isetta 300,44000
Automobiles of Arizona,2009,mercedes benz,1969,280sl roadster,47300
Automobiles of Arizona,2009,porsche,1963,356b 1600 super 90 coupe,50600
