Vente,VenteYear,marque,annee,modele,Price
Automobiles of London,2009,ferrari,,posters; poster on board,173
Automobiles of London,2009,ferrari,,f40; acrylic on canvas,173
Automobiles of London,2009,ferrari,,models by pocher,403
Automobiles of London,2009,ferrari,1996,275 gtb; acrylic on wood; 1996,288
Automobiles of London,2009,ferrari,,256 f1; acrylic on canvas,1265
Automobiles of London,2009,ferrari,1953,500 f2 model by toschi,575
Automobiles of London,2009,ferrari,,dino 246 f1; acrylic on canvas,1725
Automobiles of London,2009,ferrari,1972,312 t2 formula 1 model by toschi,288
Automobiles of London,2009,ferrari,,watch by girard perregaux,5175
Automobiles of London,2009,ferrari,,412 luggage cases,575
Automobiles of London,2009,ferrari,1957,250 testa rossa bronze model,4025
Automobiles of London,2009,ferrari,,dino 206sp; acrylic on canvas,805
Automobiles of London,2009,ferrari,,dino 196s; acrylic on canvas,1035
Automobiles of London,2009,ferrari,,formula watch,690
Automobiles of London,2009,ferrari,,race bicycle,4025
Automobiles of London,2009,ferrari,,328 complete luggage set,1150
Automobiles of London,2009,ferrari,,456 complete luggage set,1150
Automobiles of London,2009,maserati,,watch,748
Automobiles of London,2009,ferrari,,f2 500; acrylic on canvas,1610
Automobiles of London,2009,ferrari,,250 gto,3450
Automobiles of London,2009,ferrari,,196s dino; acrylic on canvas,1035
Automobiles of London,2009,ferrari,,196s dino; pencil on paper,990
Automobiles of London,2009,ferrari,,250 gto; acrylic on canvas,1035
Automobiles of London,2009,ferrari,,250 gto; poster on board,575
Automobiles of London,2009,ferrari,,250 gto; acrylic on canvas,575
Automobiles of London,2009,ferrari,,daytona and,173
Automobiles of London,2009,ferrari,,512m; cutaway posters on board,115
Automobiles of London,2009,ferrari,,512tr,173
Automobiles of London,2009,ferrari,,328,58
Automobiles of London,2009,ferrari,,,575
Automobiles of London,2009,ferrari,1978,312 t3 formula 1 bronze model by renzo jarno vandi,5175
Automobiles of London,2009,mercedes benz,1961,190sl,45100
Automobiles of London,2009,mercedes benz,1969,600 pullman landaulet,308000
Automobiles of London,2009,ferrari,1966,275 gtb nart spyder conversion,467500
Automobiles of London,2009,ferrari,1991,testarossa,30250
Automobiles of London,2009,aston martin,1961,"db4 ""lightweight racer""",110000
Automobiles of London,2009,maserati,1967,mistral spyder,121000
Automobiles of London,2009,mercedes benz,1954,300sl amg coupe,462000
Automobiles of London,2009,alfa romeo,1929,6c 1750 gs,522500
Automobiles of London,2009,mercedes benz,2005,clk gtr coupe,522500
Automobiles of London,2009,mercedes benz,2006,clk gtr roadster,616000
Automobiles of London,2009,porsche,1959,356b coupe,28600
Automobiles of London,2009,aston martin,1950,db2 team car,550000
Automobiles of London,2009,ferrari,1970,365 gtb/4 daytona,132000
Automobiles of London,2009,porsche,1958,356 a carrera gs/gt coupe,140250
Automobiles of London,2009,mercedes benz,1956,300sl coupe,302500
Automobiles of London,2009,alfa romeo,1947,6c 2500 ss cabriolet,178750
Automobiles of London,2009,porsche,1972,911 2.4s,41250
Automobiles of London,2009,ferrari,1967,250 lm replica,220000
Automobiles of London,2009,ferrari,1967,330 gtc,101750
Automobiles of London,2009,ferrari,1949,166 inter coupe,302500
Automobiles of London,2009,aston martin,1966,db6 volante,368500
