Vente,VenteYear,marque,annee,modele,Price
California,2014,maserati,1967,mexico,37400
California,2014,bmw,1957,isetta,3850
California,2014,mercedes benz,1965,"220s ""fintail""",7700
California,2014,mercedes benz,1980,450sl,9570
California,2014,ferrari,1994,348 spider,36850
California,2014,ferrari,2000,550 maranello,78100
California,2014,mercedes benz,1969,280se,18000
California,2014,mercedes benz,1991,420sel,12375
California,2014,ferrari,1988,328 gts,51500
California,2014,ferrari,1985,308 gtsi,40150
California,2014,porsche,1973,,25300
California,2014,bmw,1957,isetta 300,20900
