Vente,VenteYear,marque,annee,modele,Price
Classic Car Auction of Michigan,2009,mercedes benz,1984,500 sel four door sedan,2970
Classic Car Auction of Michigan,2009,alfa romeo,1988,spyder,7150
Classic Car Auction of Michigan,2009,mercedes benz,1995,s 500 coupe,10120
Classic Car Auction of Michigan,2009,ferrari,1995,355 gtb coupe,48400
Classic Car Auction of Michigan,2009,porsche,2000,carrera 911 coupe,28600
Classic Car Auction of Michigan,2009,mercedes benz,1977,450 sl roadster,10725
Classic Car Auction of Michigan,2009,porsche,1971,911t rsr conversion,9460
Classic Car Auction of Michigan,2009,bmw,1958,isetta,25300
Classic Car Auction of Michigan,2009,mercedes benz,1990,560 sel,2200
Classic Car Auction of Michigan,2009,mercedes benz,1999,sl 500 roadster,17050
