Vente,VenteYear,marque,annee,modele,Price
Classic Car Auction of Toronto - Fall,2008,mercedes benz,1992,300ce hard top,3300
Classic Car Auction of Toronto - Fall,2008,mercedes benz,1985,280sl convertible,8000
Classic Car Auction of Toronto - Fall,2008,bmw,1998,740i premium sedan,12760
Classic Car Auction of Toronto - Fall,2008,mercedes benz,2000,e320 wagon,6710
Classic Car Auction of Toronto - Fall,2008,mercedes benz,1978,450 sedan,1870
Classic Car Auction of Toronto - Fall,2008,mercedes benz,1972,350sl 2d,5060
Classic Car Auction of Toronto - Fall,2008,mercedes benz,1963,220se convertible,25300
Classic Car Auction of Toronto - Fall,2008,porsche,1987,930 turbo,24200
Classic Car Auction of Toronto - Fall,2008,ferrari,1980,512 bb  boxer 2d,75350
Classic Car Auction of Toronto - Fall,2008,porsche,1988,"930s turbo ""slantnose"" convertible",52800
Classic Car Auction of Toronto - Fall,2008,mercedes benz,1994,sl600 v 12 roadster,42900
