Vente,VenteYear,marque,annee,modele,Price
Classic Car Auction of Toronto - Spring,2009,mercedes benz,2000,s500,10010
Classic Car Auction of Toronto - Spring,2009,mercedes benz,2002,s430,13200
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1995,c280 4d,3960
Classic Car Auction of Toronto - Spring,2009,bmw,1991,850 coupe,9240
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1983,380 sec 2d,1210
Classic Car Auction of Toronto - Spring,2009,mercedes benz,2001,s430 4d,15125
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1991,600sel 4d,11550
Classic Car Auction of Toronto - Spring,2009,bmw,2001,330 coupe,11000
Classic Car Auction of Toronto - Spring,2009,mercedes benz,2006,smart car 2d,12650
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1997,e42 4d,6600
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1971,280sl convertible,20900
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1998,500sl roadster,19250
Classic Car Auction of Toronto - Spring,2009,ferrari,1999,f355 f1 spider,105600
Classic Car Auction of Toronto - Spring,2009,mercedes benz,2000,e55 a.m.g. sedan,33000
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1982,380sl roadster,9900
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1994,s500 coupe,8525
Classic Car Auction of Toronto - Spring,2009,porsche,1995,993 carrera 2 coupe,33550
Classic Car Auction of Toronto - Spring,2009,maserati,1984,biturbo,4400
Classic Car Auction of Toronto - Spring,2009,porsche,1957,356 speedster replica,36300
Classic Car Auction of Toronto - Spring,2009,ferrari,1979,400 gt coupe,28600
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1968,250sl convertible,42900
Classic Car Auction of Toronto - Spring,2009,porsche,1974,914,17325
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1969,300 sel 4d,16500
Classic Car Auction of Toronto - Spring,2009,mercedes benz,1969,300 sel,19500
