Vente,VenteYear,marque,annee,modele,Price
Collector Cars of Fort Lauderdale,2009,mercedes benz,1984,380sl roadster,8360
Collector Cars of Fort Lauderdale,2009,maserati,1980,merak ss two door,28600
Collector Cars of Fort Lauderdale,2009,mercedes benz,2003,500 sedan,16775
Collector Cars of Fort Lauderdale,2009,mercedes benz,1991,500sl roadster,14300
Collector Cars of Fort Lauderdale,2009,mercedes benz,1995,s500 2d,8030
Collector Cars of Fort Lauderdale,2009,mercedes benz,1966,230sl roadster,16500
Collector Cars of Fort Lauderdale,2009,bmw,1996,328i convertible,9075
Collector Cars of Fort Lauderdale,2009,mercedes benz,1967,250sl roadster,20350
Collector Cars of Fort Lauderdale,2009,mercedes benz,2002,cl500 sport coupe,20625
Collector Cars of Fort Lauderdale,2009,porsche,1971,911 touring,18150
Collector Cars of Fort Lauderdale,2009,ferrari,1982,mondial 2+2,19250
Collector Cars of Fort Lauderdale,2009,mercedes benz,1971,280 sl roadster,28600
Collector Cars of Fort Lauderdale,2009,mercedes benz,1991,sl roadster,12100
Collector Cars of Fort Lauderdale,2009,porsche,1969,911e targa,18500
Collector Cars of Fort Lauderdale,2009,porsche,1957,356a speedster recreation,24750
Collector Cars of Fort Lauderdale,2009,mercedes benz,1968,280sl roadster,42075
Collector Cars of Fort Lauderdale,2009,aston martin,2001,db7 vantage volante,57200
Collector Cars of Fort Lauderdale,2009,ferrari,1972,365gtc/4 coupe,74500
Collector Cars of Fort Lauderdale,2009,aston martin,1982,v8 volante,33000
Collector Cars of Fort Lauderdale,2009,porsche,1986,930 turbo coupe,47300
Collector Cars of Fort Lauderdale,2009,ferrari,1983,512 bbi boxer,83050
Collector Cars of Fort Lauderdale,2009,ferrari,1988,testarossa coupe,66000
