Vente,VenteYear,marque,annee,modele,Price
Duemila Ruote,2016,alfa romeo,,milano double sided illuminated sign,6435
Duemila Ruote,2016,maserati,8775,"current: 


                                        closing:",8775
Duemila Ruote,2016,ferrari,,sign,3510
Duemila Ruote,2016,ferrari,,sign,4680
Duemila Ruote,2016,bmw,,e30 & e9 bbs wheels,1638
Duemila Ruote,2016,bmw,,e30 bbs wheels,1521
Duemila Ruote,2016,porsche,,996 & assorted wheels,1638
Duemila Ruote,2016,mercedes benz,,300 sl parts & assorted wheels,1521
Duemila Ruote,2016,alfa romeo,,monoposto pedal car,9360
Duemila Ruote,2016,mercedes benz,1988,300 e sedan  amg,84000
Duemila Ruote,2016,porsche,1970,911 t 2.2 karmann,20160
Duemila Ruote,2016,maserati,1176,"current: 


                                        closing:",117600
Duemila Ruote,2016,maserati,2912,"current: 


                                        closing:",29120
Duemila Ruote,2016,porsche,1986,911 carrera 3.2,45920
Duemila Ruote,2016,mercedes benz,1993,500 sl,14560
Duemila Ruote,2016,alfa romeo,,alfetta gtv,33600
Duemila Ruote,2016,porsche,1967,911 s 2.0,72800
Duemila Ruote,2016,mercedes benz,1977,450 sel 6.9,33600
Duemila Ruote,2016,bmw,1987,m3 e30,33600
Duemila Ruote,2016,porsche,1970,911 s 2.2,33600
Duemila Ruote,2016,porsche,1998,boxster,13440
Duemila Ruote,2016,alfa romeo,1977,alfetta gtv,22400
Duemila Ruote,2016,alfa romeo,1957,giulietta spider,44800
Duemila Ruote,2016,bmw,1986,m635 csi,56000
Duemila Ruote,2016,bmw,1987,m3 e30 evo,47040
Duemila Ruote,2016,porsche,1974,911 s 2.7,67200
Duemila Ruote,2016,porsche,1986,911 carrera 3.2 targa,64960
Duemila Ruote,2016,maserati,1142,"current: 


                                        closing:",114240
Duemila Ruote,2016,porsche,1992,968 cabriolet,32480
Duemila Ruote,2016,porsche,1990,944 s2 cabriolet,28000
Duemila Ruote,2016,porsche,2006,cayman s rally,47040
Duemila Ruote,2016,alfa romeo,1956,1900 super,39200
Duemila Ruote,2016,porsche,1988,930 turbo 3.3,112000
Duemila Ruote,2016,ferrari,1961,250 gte 2+2,162400
Duemila Ruote,2016,maserati,1792,"current: 


                                        closing:",179200
Duemila Ruote,2016,ferrari,1992,testarossa,100800
Duemila Ruote,2016,porsche,1985,911 carrera 3.2 cabriolet,84000
Duemila Ruote,2016,alfa romeo,1989,75 alfa corse,56000
Duemila Ruote,2016,alfa romeo,1966,duetto 1600 spider,51520
Duemila Ruote,2016,porsche,2003,996 carrera 4s,49280
Duemila Ruote,2016,maserati,8400,"current: 


                                        closing:",84000
Duemila Ruote,2016,porsche,2004,996 carrera 4s cabriolet,50400
Duemila Ruote,2016,alfa romeo,1973,giulia sprint gt veloce 1750,35840
Duemila Ruote,2016,porsche,1966,912/5,44800
Duemila Ruote,2016,porsche,2008,997 gt3 cup,78400
Duemila Ruote,2016,alfa romeo,1973,giulia sprint gt veloce 2000,29120
Duemila Ruote,2016,alfa romeo,1966,giulia sprint gt veloce 1600,49280
Duemila Ruote,2016,porsche,1963,356 c karmann coupe,84000
Duemila Ruote,2016,porsche,1986,930 turbo 3.3,95200
Duemila Ruote,2016,alfa romeo,1987,75 turbo evoluzione imsa  ufficiale,336000
Duemila Ruote,2016,maserati,1232,"current: 


                                        closing:",123200
Duemila Ruote,2016,porsche,2002,996 gt2,145600
Duemila Ruote,2016,porsche,1990,964 carrera 4 cabriolet,67200
Duemila Ruote,2016,aston martin,2003,db7 gt,84000
