Vente,VenteYear,marque,annee,modele,Price
Ferrari – Leggenda e Passione,2009,ferrari,,sign including box,5750
Ferrari – Leggenda e Passione,2009,ferrari,,apparel,575
Ferrari – Leggenda e Passione,2009,ferrari,,maintenance manuals,6325
Ferrari – Leggenda e Passione,2009,ferrari,,sales brochures,3450
Ferrari – Leggenda e Passione,2009,ferrari,,288 gto documents,2875
Ferrari – Leggenda e Passione,2009,ferrari,,cavallino,9200
Ferrari – Leggenda e Passione,2009,ferrari,,front wing,1725
Ferrari – Leggenda e Passione,2009,ferrari,,‘daytona’ sculpture scale 1:18,3450
Ferrari – Leggenda e Passione,2009,ferrari,,enzo limited edition model scale 1:5,6900
Ferrari – Leggenda e Passione,2009,ferrari,,illuminated signs,5750
Ferrari – Leggenda e Passione,2009,ferrari,,512bb lm rear bodywork,1725
Ferrari – Leggenda e Passione,2009,ferrari,,mechanic’s suit,4025
Ferrari – Leggenda e Passione,2009,ferrari,,f1 media and postcard material,2300
Ferrari – Leggenda e Passione,2009,ferrari,,v12 hydroplane,4600
Ferrari – Leggenda e Passione,2009,ferrari,,275 gtb windscreen,2875
Ferrari – Leggenda e Passione,2009,ferrari,,race suit,2300
Ferrari – Leggenda e Passione,2009,ferrari,,dino 246 gt/gts seats with headrests,5175
Ferrari – Leggenda e Passione,2009,ferrari,,365 gtb/4 daytona seats with headrests,6325
Ferrari – Leggenda e Passione,2009,ferrari,,garage tool bench,18400
Ferrari – Leggenda e Passione,2009,ferrari,,250 gto rear bodywork form,6900
Ferrari – Leggenda e Passione,2009,ferrari,,p4 bodywork form,13800
Ferrari – Leggenda e Passione,2009,alfa romeo,,8c bronze sculpture; scale 1:1,28750
Ferrari – Leggenda e Passione,2009,ferrari,,drivers’ motorcoach by iveco,132250
Ferrari – Leggenda e Passione,2009,ferrari,,512 testarossa by pininfarina,13800
Ferrari – Leggenda e Passione,2009,ferrari,1969,365 gt 2+2,77000
Ferrari – Leggenda e Passione,2009,ferrari,1973,dino 246 gt,82500
Ferrari – Leggenda e Passione,2009,maserati,2008,mc12 corsa,770000
Ferrari – Leggenda e Passione,2009,ferrari,1985,288 gto,385000
Ferrari – Leggenda e Passione,2009,ferrari,2001,550 barchetta pininfarina,126500
Ferrari – Leggenda e Passione,2009,ferrari,1965,330 gt 2+2,60500
Ferrari – Leggenda e Passione,2009,ferrari,1974,365 gt 4 bb,126500
Ferrari – Leggenda e Passione,2009,ferrari,1957,250 gt ellena coupe,275000
Ferrari – Leggenda e Passione,2009,ferrari,1972,dino 246 gts,104500
Ferrari – Leggenda e Passione,2009,ferrari,1963,250 gt berlinetta lusso,440000
Ferrari – Leggenda e Passione,2009,ferrari,1966,275 gtb/6c,660000
Ferrari – Leggenda e Passione,2009,ferrari,1989,328 gts,66000
Ferrari – Leggenda e Passione,2009,ferrari,2010,f430,180000
Ferrari – Leggenda e Passione,2009,ferrari,1961,250 gte 2+2 coupe,115500
Ferrari – Leggenda e Passione,2009,ferrari,1965,500 superfast,715000
Ferrari – Leggenda e Passione,2009,ferrari,1950,195 inter coupe ghia,290000
Ferrari – Leggenda e Passione,2009,ferrari,1949,166 inter coupe touring,258500
Ferrari – Leggenda e Passione,2009,ferrari,1956,250 gt coupe boano,401500
Ferrari – Leggenda e Passione,2009,ferrari,1970,365 gtb 4 (daytona),209000
Ferrari – Leggenda e Passione,2009,ferrari,1953,212 inter europa coupe vignale,341000
Ferrari – Leggenda e Passione,2009,ferrari,1972,365 gtc/4,110000
Ferrari – Leggenda e Passione,2009,ferrari,1956,250 gt berlinetta (tour de france),2310000
Ferrari – Leggenda e Passione,2009,ferrari,1966,275 gtb/2 (alloy),797500
Ferrari – Leggenda e Passione,2009,ferrari,1959,250gt california (lwb),2117500
Ferrari – Leggenda e Passione,2009,ferrari,1990,641/2 f1 racing car,352000
Ferrari – Leggenda e Passione,2009,ferrari,1991,f40,286000
Ferrari – Leggenda e Passione,2009,ferrari,1957,250 testa rossa,9020000
