Vente,VenteYear,marque,annee,modele,Price
Fort Lauderdale,2014,porsche,1986,911 carrera,25850
Fort Lauderdale,2014,porsche,1987,911,30000
Fort Lauderdale,2014,ferrari,1997,550 maranello,53000
Fort Lauderdale,2014,porsche,1966,912,41250
Fort Lauderdale,2014,mercedes benz,1970,280sl,81400
Fort Lauderdale,2014,porsche,1964,356c,57750
Fort Lauderdale,2014,bmw,1973,3.0cs,31900
Fort Lauderdale,2014,mercedes benz,2005,sl55 amg,28600
Fort Lauderdale,2014,mercedes benz,2003,sl500,31350
Fort Lauderdale,2014,mercedes benz,1989,560sl,18700
Fort Lauderdale,2014,porsche,1977,911s targa,28050
