Vente,VenteYear,marque,annee,modele,Price
Hershey,2018,aston martin,,db2 and db4 sales brochures,805
Hershey,2018,mercedes benz,,sales literature,575
Hershey,2018,porsche,,356 b parts catalogues,460
Hershey,2018,porsche,,service manuals,345
Hershey,2018,ferrari,,sales brochures,5750
Hershey,2018,mercedes benz,,grille with automotive badge collection,1265
Hershey,2018,mercedes benz,,grand prix reproduction posters,403
Hershey,2018,mercedes benz,,dealership three pointed star,2588
Hershey,2018,mercedes benz,1980,450 sl,17050
Hershey,2018,mercedes benz,1989,560 sl,17600
Hershey,2018,porsche,1957,356 speedster recreation,28600
Hershey,2018,alfa romeo,1910,: tutte le vetture dal 1910 all cars from 1910 by luigi fusi,690
