Vente,VenteYear,marque,annee,modele,Price
Hilton Head,2016,mercedes benz,1984,280sl,11000
Hilton Head,2016,ferrari,1984,400i,30800
Hilton Head,2016,bmw,2002,z3 m,53900
Hilton Head,2016,porsche,1975,914,40700
Hilton Head,2016,mercedes benz,1989,560sl,41800
Hilton Head,2016,maserati,1960,3500 gt,222750
Hilton Head,2016,porsche,2004,carrera gt,800000
Hilton Head,2016,ferrari,1987,328 gts,59400
Hilton Head,2016,porsche,2001,ruf rgt,73700
Hilton Head,2016,mercedes benz,1971,280se 3.5,82500
Hilton Head,2016,ferrari,1990,testarossa,92000
Hilton Head,2016,porsche,1957,356a 1600,665500
Hilton Head,2016,porsche,1953,356,57750
Hilton Head,2016,mercedes benz,1956,300c  adenauer,102300
Hilton Head,2016,porsche,1967,911s,110000
Hilton Head,2016,mercedes benz,1967,230sl,58300
Hilton Head,2016,bmw,1984,635csi m,12100
