Vente,VenteYear,marque,annee,modele,Price
London,2016,ferrari,1966,330 gt 2+2 series ii by pininfarina,207200
London,2016,ferrari,1995,f512 m,235200
London,2016,maserati,1960,3500 gt by touring,117600
London,2016,mercedes benz,1954,220 coupe,95000
London,2016,porsche,1977,911 turbo,140000
London,2016,porsche,1989,911 turbo,106400
London,2016,porsche,1993,911 carrera rs 3.8,716800
London,2016,porsche,1993,911 turbo s lightweight,974400
London,2016,porsche,1995,911 carrera rs clubsport,403200
London,2016,porsche,1998,911 turbo s,313600
London,2016,porsche,1995,911 gt2,1848000
London,2016,porsche,1973,911 carrera rs 2.7 lightweight,224000
London,2016,ferrari,1960,250 gt cabriolet series ii by pinin farina,1288000
London,2016,maserati,1967,mistral 4.0 spyder,739200
London,2016,bmw,1990,z1,78400
London,2016,mercedes benz,2014,sls amg black series,386400
London,2016,mercedes benz,2013,c 63 amg black series,121520
London,2016,mercedes benz,2011,sl 65 amg black series,240800
London,2016,mercedes benz,1981,300 gd lwb,42000
London,2016,mercedes benz,2011,slr mclaren roadster,347200
London,2016,mercedes benz,1970,300 sel 3.5,21280
London,2016,ferrari,1990,f40,924000
London,2016,alfa romeo,1939,6c 2500 sport cabriolet by touring,952000
London,2016,aston martin,2012,v12 zagato,655200
London,2016,porsche,1992,911 carrera rs,168000
London,2016,porsche,1973,911 carrera rs 2.7 touring,459200
London,2016,aston martin,1963,db4 series v convertible,952000
London,2016,porsche,1955,356 pre a 1600 speedster by reutter,229600
London,2016,mercedes benz,1957,300 sl roadster,784000
London,2016,aston martin,1961,db4 series ii,515200
London,2016,ferrari,2002,575 m maranello,134400
London,2016,maserati,1967,sebring 3700 gti series ii by vignale,110000
London,2016,aston martin,1960,db4gt,2408000
London,2016,alfa romeo,1974,giulia super 1600 familiare by giorgetti,29120
London,2016,alfa romeo,1961,giulietta spider by pininfarina,56000
London,2016,ferrari,1975,dino 208 gt4,32480
London,2016,porsche,1980,911 sc targa,30240
London,2016,alfa romeo,1961,giulietta sprint 1300 by bertone,28000
London,2016,alfa romeo,1974,montreal by bertone,35840
