Vente,VenteYear,marque,annee,modele,Price
Michigan International Fall Classic Car Auction,2004,bmw,1986,635 csi coupe,4173
Michigan International Fall Classic Car Auction,2004,mercedes benz,1983,380 sl roadster,4280
Michigan International Fall Classic Car Auction,2004,mercedes benz,1993,300 e four door,5350
Michigan International Fall Classic Car Auction,2004,mercedes benz,1979,450sl convertible,9416
Michigan International Fall Classic Car Auction,2004,mercedes benz,1988,420sel 4d,6313
Michigan International Fall Classic Car Auction,2004,mercedes benz,1972,280 se 4.5 4d,2782
Michigan International Fall Classic Car Auction,2004,aston martin,1987,volante vantage convertible,44405
Michigan International Fall Classic Car Auction,2004,mercedes benz,1985,380 sl roadster,3424
Michigan International Fall Classic Car Auction,2004,porsche,1987,911 carerra targa 2d,10433
Michigan International Fall Classic Car Auction,2004,mercedes benz,1988,560sl roadster,14178
