Vente,VenteYear,marque,annee,modele,Price
Monaco,2018,ferrari,,275 tool kit,19800
Monaco,2018,ferrari,,250 tool kit,18000
Monaco,2018,ferrari,,458 italia engine with stand,50400
Monaco,2018,ferrari,2014,248 f1 by terry lawrie 2014,43200
Monaco,2018,ferrari,,opus diamante edition,38400
Monaco,2018,ferrari,2007,f2007 engine cover,96000
Monaco,2018,aston martin,1988,v8 volante,218500
Monaco,2018,ferrari,1984,512 bbi,184000
Monaco,2018,porsche,2014,911 carrera s martini racing edition,109250
Monaco,2018,ferrari,1993,conciso concept by michalak,109250
Monaco,2018,alfa romeo,2008,8c competizione,218500
Monaco,2018,mercedes benz,1954,220 cabriolet a,126500
Monaco,2018,ferrari,1962,250 gt cabriolet series ii by pininfarina,1692500
Monaco,2018,ferrari,2006,f430 gtc,511250
Monaco,2018,porsche,1973,911 carrera rs 2.7 lightweight,1242500
Monaco,2018,ferrari,1950,195 inter coupe by ghia,590000
Monaco,2018,alfa romeo,1933,6c 1900 gran turismo spider in the style of touring,522500
Monaco,2018,ferrari,2003,360 challenge stradale,185000
Monaco,2018,ferrari,1978,308 gts,269375
Monaco,2018,ferrari,1971,dino 246 gt by scaglietti,263750
Monaco,2018,ferrari,1967,330 gtc by pininfarina,477500
Monaco,2018,ferrari,2017,california t 70th anniversary,365000
Monaco,2018,porsche,1965,911,297500
Monaco,2018,ferrari,2006,575 superamerica,860000
Monaco,2018,ferrari,1966,275 gtb by scaglietti,2142500
Monaco,2018,porsche,1987,959 komfort,837500
Monaco,2018,ferrari,2011,599 gto,680000
Monaco,2018,alfa romeo,1959,giulietta sprint speciale  muso basso  by bertone,387500
Monaco,2018,porsche,1972,914/6 fia,73600
Monaco,2018,aston martin,1972,v8 saloon,31050
Monaco,2018,ferrari,2007,f430 challenge,126500
Monaco,2018,ferrari,1957,250 gt coupe by boano,848750
Monaco,2018,ferrari,1974,dino 246 gts by scaglietti,533750
Monaco,2018,porsche,1994,ruf 911 carrera cabriolet,161000
Monaco,2018,bmw,1983,635 csi group a,297500
Monaco,2018,ferrari,1995,456 gt,85100
Monaco,2018,bmw,2001,z8,241250
Monaco,2018,porsche,2011,911 speedster,246875
Monaco,2018,ferrari,2001,360 challenge,57500
Monaco,2018,alfa romeo,1965,giulia sprint speciale by bertone,103500
