Vente,VenteYear,marque,annee,modele,Price
Monterey,2013,alfa romeo,1974,giulia super giardinetta by carrozzeria grazia,77000
Monterey,2013,porsche,1963,356 b 1600 cabriolet by reutter,121000
Monterey,2013,alfa romeo,1964,giulia 1600 sprint speciale by bertone,126500
Monterey,2013,mercedes benz,1955,300sl gullwing,1485000
Monterey,2013,ferrari,1961,400 superamerica swb coupe aerodinamico by pininfarina,2750000
Monterey,2013,ferrari,1974,dino 246 gts  chairs & flares,473000
Monterey,2013,mercedes benz,1957,300sl roadster,1430000
Monterey,2013,ferrari,1973,365 gtb/4 daytona berlinetta by scaglietti,770000
Monterey,2013,ferrari,1950,166 mm barchetta in the style of touring,3080000
Monterey,2013,porsche,1985,959  vorserie,737000
Monterey,2013,ferrari,1960,250 gt cabriolet series ii by pinin farina,1292500
Monterey,2013,porsche,1977,934½ imsa/trans am,550000
Monterey,2013,ferrari,1964,250 gt/l  lusso  berlinetta by scaglietti,1386000
Monterey,2013,mercedes benz,1939,540k special roadster by sindelfingen,7480000
Monterey,2013,ferrari,1969,365 gtc by pininfarina,759000
Monterey,2013,ferrari,1953,375 mm spider by pinin farina,9075000
Monterey,2013,mercedes benz,1961,190sl roadster,269500
Monterey,2013,aston martin,1966,db6,321750
Monterey,2013,ferrari,1984,512 bbi by pininfarina,170500
Monterey,2013,ferrari,1957,250 gt ellena coupe,687500
Monterey,2013,ferrari,1955,750 monza spider by scaglietti,4070000
Monterey,2013,ferrari,1967,330 gtc by pininfarina,418000
Monterey,2013,maserati,1958,kd 13 hydroplane,280500
Monterey,2013,alfa romeo,1965,2600 spider by touring,93500
Monterey,2013,mercedes benz,1971,280sl,79750
Monterey,2013,porsche,1963,356 b 1600 coupe by karmann,120000
Monterey,2013,ferrari,1974,dino 246 gts  chairs & flares,390500
Monterey,2013,alfa romeo,1957,giulietta sprint veloce alleggerita,253000
Monterey,2013,ferrari,1971,365 gtc/4,275000
Monterey,2013,ferrari,1995,f50,1677500
Monterey,2013,aston martin,1960,db4gt,2200000
Monterey,2013,mercedes benz,1958,300sl roadster,984500
Monterey,2013,mercedes benz,1928,680s torpedo roadster by carrosserie j. saoutchik,8250000
Monterey,2013,ferrari,1961,250 gt cabriolet series ii by pininfarina,1100000
Monterey,2013,aston martin,1960,db4 series ii,632500
Monterey,2013,maserati,1956,a6g/2000 spyder by frua,2530000
Monterey,2013,mercedes benz,1955,300sl gullwing,1265000
Monterey,2013,mercedes benz,1971,280se 3.5 cabriolet,220000
Monterey,2013,aston martin,1958,db2/4 mk iii,440000
Monterey,2013,ferrari,1967,275 gtb/4*s n.a.r.t. spider by scaglietti,27500000
Monterey,2013,ferrari,1970,365 gtb/4 daytona berlinetta by scaglietti,583000
Monterey,2013,ferrari,2010,california,187000
Monterey,2013,ferrari,2002,360 spider f1,104500
Monterey,2013,ferrari,1990,f40,1155000
Monterey,2013,ferrari,1987,testarossa,110000
Monterey,2013,ferrari,1954,500 mondial spider series i by pinin farina,3520000
Monterey,2013,ferrari,1979,308 gts,63250
Monterey,2013,ferrari,1972,365 gtc/4 by pininfarina,225500
Monterey,2013,ferrari,1965,275 gts by pininfarina,990000
Monterey,2013,ferrari,1971,365 gtb/4 daytona spider by scaglietti,1650000
Monterey,2013,maserati,1960,tipo 61  birdcage,2090000
Monterey,2013,ferrari,1996,333 sp evoluzione,1375000
Monterey,2013,ferrari,1956,250 gt boano coupe,726000
Monterey,2013,ferrari,1964,250 gt/l  lusso  berlinetta by scaglietti,924000
Monterey,2013,alfa romeo,1969,1750 spider veloce,121000
Monterey,2013,ferrari,1960,250 gt coupe by pinin farina,390500
Monterey,2013,porsche,1972,911 s targa,93500
