Vente,VenteYear,marque,annee,modele,Price
Monterey Sports & Classic Car Auction,2007,porsche,,factory poster,660
Monterey Sports & Classic Car Auction,2007,porsche,,924 carrera gt,173
Monterey Sports & Classic Car Auction,2007,porsche,,924 carrera gt,110
Monterey Sports & Classic Car Auction,2007,mercedes benz,1969,280se sedan,7700
Monterey Sports & Classic Car Auction,2007,maserati,1975,khamsin,22000
Monterey Sports & Classic Car Auction,2007,mercedes benz,1969,300 sel 6.3 sedan,16500
Monterey Sports & Classic Car Auction,2007,bmw,1958,isetta 300,35200
Monterey Sports & Classic Car Auction,2007,porsche,1972,911e coupe,41250
Monterey Sports & Classic Car Auction,2007,mercedes benz,1952,220a cabriolet,154000
Monterey Sports & Classic Car Auction,2007,alfa romeo,1957,spider veloce monoposto,99000
Monterey Sports & Classic Car Auction,2007,ferrari,1969,365 gtc,209000
Monterey Sports & Classic Car Auction,2007,porsche,1971,911t rsr conversion,16500
Monterey Sports & Classic Car Auction,2007,bmw,1965,3200 cs bertone,22500
Monterey Sports & Classic Car Auction,2007,porsche,1958,356 cabriolet,77000
Monterey Sports & Classic Car Auction,2007,ferrari,,testarossa spyder gas powered child s car,17600
Monterey Sports & Classic Car Auction,2007,alfa romeo,1972,montreal coupe,30250
Monterey Sports & Classic Car Auction,2007,maserati,1973,bora,77000
Monterey Sports & Classic Car Auction,2007,ferrari,1965,330 gt 2+2 series ii,82500
Monterey Sports & Classic Car Auction,2007,porsche,1974,carrera targa,38500
Monterey Sports & Classic Car Auction,2007,porsche,1963,356b coupe,52250
Monterey Sports & Classic Car Auction,2007,aston martin,1955,db2/4 mkii fixed head coupe,121000
Monterey Sports & Classic Car Auction,2007,alfa romeo,1933,8c 2300 monza spider,907500
Monterey Sports & Classic Car Auction,2007,ferrari,1973,365 gtb/4 daytona spyder,1056000
Monterey Sports & Classic Car Auction,2007,mercedes benz,1937,540k special roadster,2530000
Monterey Sports & Classic Car Auction,2007,ferrari,1959,250 gt series ii cabriolet,462000
Monterey Sports & Classic Car Auction,2007,aston martin,1959,db4 gt factory lightweight,1650000
Monterey Sports & Classic Car Auction,2007,mercedes benz,1955,300sl gullwing,726000
Monterey Sports & Classic Car Auction,2007,ferrari,1959,250 gt lwb spyder california competizione,4950000
