Vente,VenteYear,marque,annee,modele,Price
Monterey Sports and Classic Car Auction,2003,ferrari,1988,tr spyder child s car,11550
Monterey Sports and Classic Car Auction,2003,mercedes benz,1973,300sel 4.5 sedan,13200
Monterey Sports and Classic Car Auction,2003,porsche,1959,356d roadster replica,19250
Monterey Sports and Classic Car Auction,2003,mercedes benz,1965,600swb limousine,25850
Monterey Sports and Classic Car Auction,2003,mercedes benz,1970,280se 3.5 coupe,17050
Monterey Sports and Classic Car Auction,2003,mercedes benz,1960,220se coupe,38000
Monterey Sports and Classic Car Auction,2003,porsche,1976,914/6 coupe,30250
Monterey Sports and Classic Car Auction,2003,porsche,1961,356 super 90 coupe,34650
Monterey Sports and Classic Car Auction,2003,ferrari,1966,330 gt 2+2 coupe,51500
Monterey Sports and Classic Car Auction,2003,maserati,1967,mistral coupe,25300
Monterey Sports and Classic Car Auction,2003,maserati,1972,ghibli 4.9 ss coupe,46200
Monterey Sports and Classic Car Auction,2003,maserati,1996,ghibli open cup race car,28050
Monterey Sports and Classic Car Auction,2003,mercedes benz,1959,190sl roadster,29700
Monterey Sports and Classic Car Auction,2003,mercedes benz,1952,220a cabriolet,64350
Monterey Sports and Classic Car Auction,2003,mercedes benz,1952,300 cabriolet,60500
Monterey Sports and Classic Car Auction,2003,bmw,2000,z8 roadster,94050
Monterey Sports and Classic Car Auction,2003,ferrari,2000,360 modena coupe,159500
Monterey Sports and Classic Car Auction,2003,porsche,1966,912 coupe,19800
Monterey Sports and Classic Car Auction,2003,aston martin,1967,db6 coupe,88000
Monterey Sports and Classic Car Auction,2003,mercedes benz,1955,300sl continuation,85800
Monterey Sports and Classic Car Auction,2003,porsche,1979,911sc targa coupe,33000
Monterey Sports and Classic Car Auction,2003,porsche,1988,944 turbo track car,13200
Monterey Sports and Classic Car Auction,2003,porsche,1986,944 turbo coupe,10450
Monterey Sports and Classic Car Auction,2003,porsche,1964,356sc sunroof coupe,23100
Monterey Sports and Classic Car Auction,2003,ferrari,,watch yellow dial black strap push button chronograph date sapphire crystal.…,2415
Monterey Sports and Classic Car Auction,2003,ferrari,,watch charcoal dial push button chronograph date automatic swiss movement sapphire crystal.…,2875
Monterey Sports and Classic Car Auction,2003,ferrari,,watch push button chronograph gold hands gold markers date sapphire crystal automatic…,2013
Monterey Sports and Classic Car Auction,2003,ferrari,,watch blue dial sapphire crystal push button chronograph date automatic swiss…,2300
Monterey Sports and Classic Car Auction,2003,ferrari,,watch push button chronometer black dial luminescent hands and numbers date…,2300
