Vente,VenteYear,marque,annee,modele,Price
Motor City,2016,ferrari,1988,328 gts,100000
Motor City,2016,mercedes benz,1965,300 se coupe,63250
Motor City,2016,porsche,1970,911 e coupe,70000
Motor City,2016,mercedes benz,1980,450 slc,16500
Motor City,2016,mercedes benz,1969,280 se cabriolet,132000
Motor City,2016,ferrari,1986,testarossa,120000
Motor City,2016,bmw,2002,z8,138600
Motor City,2016,mercedes benz,1952,220 cabriolet a,126500
Motor City,2016,mercedes benz,1960,220 se cabriolet,165000
Motor City,2016,mercedes benz,1957,190 sl,154000
