Vente,VenteYear,marque,annee,modele,Price
New York - Art of the Automobile,2013,ferrari,,180 testa rossa children s car,126500
New York - Art of the Automobile,2013,mercedes benz,1960,300 sl roadster,1650000
New York - Art of the Automobile,2013,ferrari,1961,250 gt cabriolet series ii by carrozzeria pininfarina,2035000
New York - Art of the Automobile,2013,aston martin,1956,db2/4 mk ii ‘supersonic’ by carrozzeria ghia,2310000
New York - Art of the Automobile,2013,porsche,1959,356 a carrera 1600 gs  sunroof  coupe by karosserie reutter,605000
New York - Art of the Automobile,2013,mercedes benz,1955,300 sl gullwing,1265000
New York - Art of the Automobile,2013,ferrari,1955,250 europa gt coupe by carrozzeria pinin farina,2420000
New York - Art of the Automobile,2013,bmw,1958,507 series ii roadster,1650000
New York - Art of the Automobile,2013,maserati,1955,a6g/2000 spyder by carrozzeria zagato,4455000
New York - Art of the Automobile,2013,ferrari,1959,"250 gt swb ""competition"" berlinetta speciale by carrozzeria bertone",7040000
New York - Art of the Automobile,2013,ferrari,1964,250 lm by carrozzeria scaglietti,14300000
