Vente,VenteYear,marque,annee,modele,Price
New York - Driven By Disruption,2015,ferrari,1985,250 testa rossa children’s car by michele conti 1985,89125
New York - Driven By Disruption,2015,ferrari,1989,by larry braun 1989,11500
New York - Driven By Disruption,2015,bmw,,m1 art car models,8050
New York - Driven By Disruption,2015,ferrari,,enzo model,5750
New York - Driven By Disruption,2015,ferrari,1992,by andre barelier 1992,23000
New York - Driven By Disruption,2015,ferrari,1960,cavallino rampante chrome sign c. 1960s,32200
New York - Driven By Disruption,2015,ferrari,1960,cavallino rampante bronze sign c. 1960s,35650
New York - Driven By Disruption,2015,porsche,,type 904 carrera miniature engine,51750
New York - Driven By Disruption,2015,porsche,,type 917 miniature engine,54625
New York - Driven By Disruption,2015,ferrari,1973,365 gtb/4 daytona berlinetta by scaglietti,847000
New York - Driven By Disruption,2015,ferrari,1991,testarossa,319000
New York - Driven By Disruption,2015,porsche,1964,356 c 1600 sc cabriolet by reutter,1760000
New York - Driven By Disruption,2015,ferrari,1969,dino 206 gt by scaglietti,770000
New York - Driven By Disruption,2015,ferrari,1958,250 gt cabriolet series i by pinin farina,5720000
New York - Driven By Disruption,2015,aston martin,1962,db4gt zagato,14300000
New York - Driven By Disruption,2015,ferrari,1953,250 europa coupe by vignale,3300000
New York - Driven By Disruption,2015,porsche,1973,911 carrera rs 2.7 touring,918500
New York - Driven By Disruption,2015,ferrari,2003,enzo,3300000
New York - Driven By Disruption,2015,mercedes benz,1956,300 sc roadster,1072500
New York - Driven By Disruption,2015,ferrari,1956,290 mm by scaglietti,28050000
New York - Driven By Disruption,2015,porsche,1975,911 turbo,330000
