Vente,VenteYear,marque,annee,modele,Price
New York - ICONS,2017,ferrari,0759,250 gt pf cabriolet (0759 gt) manichino by auto sport,48000
New York - ICONS,2017,ferrari,,180 testa rossa children s car,51600
New York - ICONS,2017,ferrari,2003,by dennis hoyt 2003,32400
New York - ICONS,2017,ferrari,1989,testarossa,246400
New York - ICONS,2017,bmw,2000,z8,329500
New York - ICONS,2017,ferrari,2016,f12tdf,1105000
New York - ICONS,2017,mercedes benz,1958,300 sl roadster,1407500
New York - ICONS,2017,ferrari,1992,,190400
New York - ICONS,2017,aston martin,1965,db5 convertible,2700000
New York - ICONS,2017,mercedes benz,1955,300 sl gullwing,1352500
New York - ICONS,2017,porsche,2015,918  weissach  spyder,1732000
New York - ICONS,2017,ferrari,1959,250 gt lwb california spider competizione by scaglietti,17990000
New York - ICONS,2017,ferrari,1990,f40,1242500
