Vente,VenteYear,marque,annee,modele,Price
Paris,2014,alfa romeo,1966,giulia super  polizia,28000
Paris,2014,porsche,1971,911 e targa,47600
Paris,2014,alfa romeo,1956,giulietta berlina,21280
Paris,2014,ferrari,1970,365 gt 2+2,117600
Paris,2014,ferrari,1974,365 gt4 berlinetta boxer,187600
Paris,2014,alfa romeo,1962,2600 spider by touring,81200
Paris,2014,mercedes benz,1971,600  six door  pullman landaulet,537600
Paris,2014,alfa romeo,1952,1900c sprint by touring,196000
Paris,2014,aston martin,1957,db2/4 mk iii,207200
Paris,2014,mercedes benz,1960,190 sl roadster,109200
Paris,2014,aston martin,1950,db2,364000
Paris,2014,ferrari,1955,750 monza spider by scaglietti,1960000
Paris,2014,porsche,1964,904 carrera gts,1288000
Paris,2014,porsche,1982,956 group c sports prototype,2352000
Paris,2014,mercedes benz,1957,300 sl roadster,823200
Paris,2014,mercedes benz,1953,300 s roadster,448000
Paris,2014,alfa romeo,1948,6c 2500 super sport coupe by touring,358400
Paris,2014,alfa romeo,1980,179b formula one,168000
Paris,2014,ferrari,1990,f40,515200
Paris,2014,alfa romeo,1939,6c 2500 cabriolet by gebrüder tüscher of zurich,296800
Paris,2014,alfa romeo,1947,6c 2500 sport cabriolet by pinin farina,280000
