Vente,VenteYear,marque,annee,modele,Price
Salon Privé,2011,aston martin,1977,v8 series iii coupe,21280
Salon Privé,2011,aston martin,1966,db6 vantage coupe,123200
Salon Privé,2011,aston martin,1967,db6 coupe,78400
Salon Privé,2011,aston martin,1964,db5 coupe,263200
Salon Privé,2011,aston martin,1987,v 8 vantage volante x pack,100800
Salon Privé,2011,aston martin,1961,db4 vantage convertible,431200
Salon Privé,2011,aston martin,1962,db4 series iv vantage coupe,274400
Salon Privé,2011,aston martin,1939,2 litre  brooklands  speed model,319200
Salon Privé,2011,aston martin,1960,db4 coupe,212800
Salon Privé,2011,aston martin,1952,db2 vantage drophead coupe,145600
Salon Privé,2011,aston martin,1953,db2 coupe,72800
Salon Privé,2011,aston martin,1959,db mark iii coupe,89600
