Vente,VenteYear,marque,annee,modele,Price
Santa Monica,2016,porsche,1953,factory poster 1983. 24 x 18 ins.,115
Santa Monica,2016,ferrari,1950,factory lithograph 1950 s  1989. 27 x 39 ins.,460
Santa Monica,2016,ferrari,,365 gtb/4 (daytona) factory publications,2300
Santa Monica,2016,ferrari,,330 gtc owner’s manual,518
Santa Monica,2016,ferrari,1968,365 gt 2 + 2 sales brochure 1968,460
Santa Monica,2016,ferrari,1967,produzione  brochure with 330 gtc,288
Santa Monica,2016,ferrari,1970,factory owners publications. a dino 246gt 1970 an operating maintenance and service…,1380
Santa Monica,2016,ferrari,,330 gt brochure,115
Santa Monica,2016,ferrari,1970,bb pininfarina original blueprint 1/5th scale 1970.,1495
Santa Monica,2016,bmw,1920,motorcycle desk piece c. 1920s,690
Santa Monica,2016,ferrari,1950,custom finish.,4025
Santa Monica,2016,mercedes benz,1999,sl500,30800
Santa Monica,2016,mercedes benz,1970,280sl,52800
Santa Monica,2016,porsche,1993,928 gts,63800
Santa Monica,2016,ferrari,1985,mondial quattrovalvole,46750
Santa Monica,2016,porsche,1966,911,49500
Santa Monica,2016,ferrari,1992,512 tr,200750
Santa Monica,2016,ferrari,1995,f50,1952500
Santa Monica,2016,mercedes benz,2006,slr,231000
Santa Monica,2016,alfa romeo,1960,2000,59400
Santa Monica,2016,mercedes benz,1971,280sl,104500
Santa Monica,2016,porsche,1988,959  komfort,1250000
Santa Monica,2016,ferrari,1984,512 bbi,308000
Santa Monica,2016,ferrari,2000,456m gta,44000
Santa Monica,2016,porsche,1973,911e,79750
Santa Monica,2016,bmw,2000,z8,189750
Santa Monica,2016,porsche,2002,gt2,143000
Santa Monica,2016,alfa romeo,1973,gtv 2000,34000
Santa Monica,2016,porsche,1965,356sc  sunroof,137500
Santa Monica,2016,ferrari,1983,champione del mundo poster  by harold cleworth 1983.  22.5 x 31.5 ins.,173
Santa Monica,2016,ferrari,,275 crankshaft,690
Santa Monica,2016,ferrari,1981,factory owners manuel (uso e manutenzione) 1981 factory publication.,460
Santa Monica,2016,ferrari,,512 bb factory publications,863
Santa Monica,2016,ferrari,,250 gt sales brochure,431
Santa Monica,2016,ferrari,1960,250 gt granturismo coupe pininfarina sales brochure 1960,575
Santa Monica,2016,ferrari,,365 gtc/4 owner’s manual,690
Santa Monica,2016,ferrari,,250 lm berlinetta owner’s manual,920
Santa Monica,2016,ferrari,1981,testarossa original pininfarina blueprint 1/5th scale large 1981,1380
