Vente,VenteYear,marque,annee,modele,Price
Sporting Classics of Monaco,2010,alfa romeo,1750,1750 handbook and sales brochure,2633
Sporting Classics of Monaco,2010,ferrari,,250 gt california spyder and 250 swb berlinetta sales brochures,644
Sporting Classics of Monaco,2010,ferrari,,shield – ceramic mosaic,585
Sporting Classics of Monaco,2010,maserati,,birdcage tipo 61 model; scale 1:8,2574
Sporting Classics of Monaco,2010,ferrari,,250 sales brochures (8),5850
Sporting Classics of Monaco,2010,ferrari,1960,sales brochures,878
Sporting Classics of Monaco,2010,ferrari,,watch by girard perregaux,4973
Sporting Classics of Monaco,2010,ferrari,,dealership perpetual calendar,7020
Sporting Classics of Monaco,2010,ferrari,1958,250 gt ‘tour de france’ trophy,1755
Sporting Classics of Monaco,2010,mercedes benz,1937,press kit,1755
Sporting Classics of Monaco,2010,ferrari,,enzo model by editalia; scale 1:18 1 of 399 produced,8190
Sporting Classics of Monaco,2010,ferrari,,illuminated sales sign,4095
Sporting Classics of Monaco,2010,ferrari,,illuminated service sign,4973
Sporting Classics of Monaco,2010,ferrari,1966,1st edition book & enzo,1755
Sporting Classics of Monaco,2010,ferrari,1962,250 gto model; scale 1:5,9360
Sporting Classics of Monaco,2010,ferrari,,330 gtc dashboard,14625
Sporting Classics of Monaco,2010,ferrari,,375 and 410 literature,585
Sporting Classics of Monaco,2010,ferrari,,f1 512 nose section,12285
Sporting Classics of Monaco,2010,alfa romeo,1964,giulia sprint coupe,22400
Sporting Classics of Monaco,2010,mercedes benz,1957,190 sl roadster,39200
Sporting Classics of Monaco,2010,porsche,1958,356a speedster,117600
Sporting Classics of Monaco,2010,mercedes benz,1968,600 pullman landaulet,576800
Sporting Classics of Monaco,2010,ferrari,1954,250 europa coupe by pinin farina,450000
Sporting Classics of Monaco,2010,ferrari,1968,330 gts,520800
Sporting Classics of Monaco,2010,alfa romeo,1930,6c 1750 gs by castagna,560000
Sporting Classics of Monaco,2010,ferrari,1962,400 superamerica cabriolet pininfarina swb,2800000
Sporting Classics of Monaco,2010,ferrari,1967,275 gtb/4 berlinetta,767200
Sporting Classics of Monaco,2010,ferrari,1970,365 gtb/4 daytona gr. iv,537600
Sporting Classics of Monaco,2010,ferrari,1962,250 gt swb berlinetta,2632000
Sporting Classics of Monaco,2010,ferrari,1957,250 gt lwb tour de france,2352000
Sporting Classics of Monaco,2010,ferrari,1987,328 gts,33600
Sporting Classics of Monaco,2010,porsche,1987,959,210000
Sporting Classics of Monaco,2010,aston martin,1970,dbs v8,112000
Sporting Classics of Monaco,2010,ferrari,2002,550 barchetta,123200
Sporting Classics of Monaco,2010,ferrari,1965,275 gtb/6c alloy berlinetta,784000
Sporting Classics of Monaco,2010,aston martin,2005,dbr9 fia gt championship racing car,263200
Sporting Classics of Monaco,2010,ferrari,1952,212/225 sport coupe by vignale,644000
Sporting Classics of Monaco,2010,aston martin,1950,db2 vantage saloon,291200
Sporting Classics of Monaco,2010,ferrari,1985,288 gto,403200
Sporting Classics of Monaco,2010,ferrari,1967,330 gtc coupe,173600
Sporting Classics of Monaco,2010,aston martin,1965,db5 vantage,436800
Sporting Classics of Monaco,2010,ferrari,1971,365 gtb/4 daytona spyder,694400
Sporting Classics of Monaco,2010,alfa romeo,1930,6c 1750 gs by zagato,879200
Sporting Classics of Monaco,2010,ferrari,1959,250 gt lwb california spyder,2072000
Sporting Classics of Monaco,2010,mercedes benz,1965,230 sl coupe,33600
Sporting Classics of Monaco,2010,maserati,1960,"tipo 61 ""birdcage""",2464000
Sporting Classics of Monaco,2010,porsche,2007,911 gt3 rs,117600
Sporting Classics of Monaco,2010,aston martin,1957,db2/4 mark iii saloon,134400
Sporting Classics of Monaco,2010,bmw,1974,"3.0 csl ""batmobile""",128800
Sporting Classics of Monaco,2010,mercedes benz,1970,600 pullman limousine,145600
Sporting Classics of Monaco,2010,bmw,1968,1800,10080
