Vente,VenteYear,marque,annee,modele,Price
Sports & Classics of Monterey,2010,porsche,1967,911 targa,44000
Sports & Classics of Monterey,2010,aston martin,2003,db ar1 zagato roadster,155100
Sports & Classics of Monterey,2010,maserati,1968,ghibli,82500
Sports & Classics of Monterey,2010,mercedes benz,1960,220se cabriolet,143000
Sports & Classics of Monterey,2010,porsche,2008,911 carrera s coupe,110000
Sports & Classics of Monterey,2010,ferrari,1993,512 tr,88000
Sports & Classics of Monterey,2010,ferrari,1971,365 gtb/4 daytona,231000
Sports & Classics of Monterey,2010,ferrari,1973,dino 246gts,176000
Sports & Classics of Monterey,2010,ferrari,1972,dino 246gt,126500
Sports & Classics of Monterey,2010,maserati,1967,4.7 ghibli coupe,107250
Sports & Classics of Monterey,2010,ferrari,2003,enzo,830500
Sports & Classics of Monterey,2010,ferrari,1964,250 gt/ l berlinetta,561000
Sports & Classics of Monterey,2010,bmw,1939,328 roadster,539000
Sports & Classics of Monterey,2010,porsche,1988,959,412500
Sports & Classics of Monterey,2010,mercedes benz,1958,190 sl roadster,93500
Sports & Classics of Monterey,2010,porsche,2000,911 gt3r,96250
Sports & Classics of Monterey,2010,aston martin,1952,db2 vantage drophead coupe,363000
Sports & Classics of Monterey,2010,ferrari,1949,166 inter coupe by stabilimenti farina,462000
Sports & Classics of Monterey,2010,ferrari,1979,512 bb/lm competition berlinetta,880000
Sports & Classics of Monterey,2010,aston martin,1966,db6 vantage coupe,154000
Sports & Classics of Monterey,2010,ferrari,1989,testarossa,57750
Sports & Classics of Monterey,2010,porsche,1963,356b super 90 coupe,50600
Sports & Classics of Monterey,2010,ferrari,1989,328 gts,49500
Sports & Classics of Monterey,2010,bmw,1974,2002tii coupe,24200
Sports & Classics of Monterey,2010,bmw,1961,isetta 300 export cabriolet,41250
Sports & Classics of Monterey,2010,bmw,1960,600,49500
Sports & Classics of Monterey,2010,maserati,1962,3500gt vignale spider,231000
Sports & Classics of Monterey,2010,porsche,1965,356c cabriolet,82500
Sports & Classics of Monterey,2010,mercedes benz,1952,300 cabriolet d,115500
Sports & Classics of Monterey,2010,aston martin,1984,lagonda saloon,33000
Sports & Classics of Monterey,2010,mercedes benz,1957,300sl roadster,440000
Sports & Classics of Monterey,2010,mercedes benz,1955,300sl coupe,550000
Sports & Classics of Monterey,2010,ferrari,1969,365 gt 2+2,181500
Sports & Classics of Monterey,2010,ferrari,1965,275 gts,445500
Sports & Classics of Monterey,2010,porsche,1957,356a speedster,132000
Sports & Classics of Monterey,2010,ferrari,1960,250 gt series ii cabriolet by pinin farina,429000
Sports & Classics of Monterey,2010,porsche,1973,911 carrera rs (factory remanufactured special),440000
Sports & Classics of Monterey,2010,ferrari,1959,410 superamerica series iii,1760000
Sports & Classics of Monterey,2010,ferrari,1966,500 superfast,1127500
Sports & Classics of Monterey,2010,aston martin,1963,db4 series 5 vantage gt coupe,330000
Sports & Classics of Monterey,2010,ferrari,1954,500 mondial berlinetta,1567500
Sports & Classics of Monterey,2010,ferrari,1971,365 gtb/4 daytona spyder,990000
Sports & Classics of Monterey,2010,ferrari,1958,250gt series i cabriolet,1622500
Sports & Classics of Monterey,2010,ferrari,1966,275 gtb/6c alloy berlinetta,1155000
Sports & Classics of Monterey,2010,ferrari,1954,375 mm berlinetta by pinin farina,4620000
Sports & Classics of Monterey,2010,ferrari,1956,250 gt coupe by boano,440000
Sports & Classics of Monterey,2010,ferrari,1959,250 gt lwb california spyder,2612500
Sports & Classics of Monterey,2010,ferrari,1967,275 gtb/4 berlinetta,1045000
