Vente,VenteYear,marque,annee,modele,Price
The Andrews Collection,2015,ferrari,1950,duostop rally timers c. 1950s,13800
The Andrews Collection,2015,ferrari,,and lotus pedal cars,4600
The Andrews Collection,2015,ferrari,,250 gto and 330 p4 models,4600
The Andrews Collection,2015,ferrari,,arno xi hydroplane model,4025
The Andrews Collection,2015,alfa romeo,2300,8c 2300 model,2875
The Andrews Collection,2015,alfa romeo,2300,8c 2300 monza model,2300
The Andrews Collection,2015,maserati,,birdcage models,2875
The Andrews Collection,2015,mercedes benz,,and auto union models,6900
The Andrews Collection,2015,mercedes benz,,ssk model,52900
The Andrews Collection,2015,ferrari,,engine dynamometer,155250
The Andrews Collection,2015,porsche,2008,cayman s track car,71500
The Andrews Collection,2015,aston martin,1953,db2/4 drophead coupe by bertone,1320000
The Andrews Collection,2015,ferrari,1963,400 superamerica lwb coupe aerodinamico by pininfarina,2860000
The Andrews Collection,2015,mercedes benz,1959,300 sl roadster,1842500
The Andrews Collection,2015,ferrari,1962,400 superamerica swb cabriolet by pininfarina,7645000
The Andrews Collection,2015,ferrari,2008,599 gtb,214500
The Andrews Collection,2015,ferrari,1989,328 gts,93500
The Andrews Collection,2015,porsche,1989,911 turbo coupe,126500
