Vente,VenteYear,marque,annee,modele,Price
The Don Davis Collection,2013,mercedes benz,1970,280sl roadster,77000
The Don Davis Collection,2013,ferrari,1991,testarossa,104500
The Don Davis Collection,2013,bmw,1974,3.0 cs,110000
The Don Davis Collection,2013,porsche,1973,911 carrera rs touring,506000
The Don Davis Collection,2013,mercedes benz,1961,300sl roadster,935000
The Don Davis Collection,2013,porsche,1958,356a 1600 cabriolet by reutter,121000
The Don Davis Collection,2013,bmw,1980,m1,242000
The Don Davis Collection,2013,porsche,1957,356a 1600 super  sunroof  coupe by reutter,176000
The Don Davis Collection,2013,ferrari,1971,365 gtb/4 daytona coupe by scaglietti,407000
The Don Davis Collection,2013,porsche,1958,356a 1600 speedster by reutter,291500
The Don Davis Collection,2013,mercedes benz,1959,220s coupe,77000
The Don Davis Collection,2013,mercedes benz,1957,220s cabriolet,148500
The Don Davis Collection,2013,ferrari,1967,330 gts by pininfarina,1936000
The Don Davis Collection,2013,mercedes benz,1955,300sl gullwing,1237500
The Don Davis Collection,2013,porsche,2008,911 turbo cabriolet,90750
The Don Davis Collection,2013,mercedes benz,1971,280sl roadster,99000
The Don Davis Collection,2013,porsche,1960,356b 1600 cabriolet by reutter,148500
The Don Davis Collection,2013,porsche,1975,911s targa,55000
The Don Davis Collection,2013,porsche,1988,959  komfort,770000
The Don Davis Collection,2013,ferrari,1973,365 gtb/4 daytona spider by scaglietti,1650000
The Don Davis Collection,2013,porsche,1989,911 speedster,187000
The Don Davis Collection,2013,ferrari,1991,mondial t cabriolet,85250
The Don Davis Collection,2013,porsche,1959,356a 1600 super convertible d by drauz,137500
The Don Davis Collection,2013,mercedes benz,1957,300sl roadster,770000
The Don Davis Collection,2013,ferrari,1988,328 gtsi,88000
