Vente,VenteYear,marque,annee,modele,Price
The Florida Collector Car Auction,2004,mercedes benz,1959,190 sl,30000
The Florida Collector Car Auction,2004,mercedes benz,1986,560 sl roadster,10700
The Florida Collector Car Auction,2004,mercedes benz,1991,420 sel four door sedan,5029
The Florida Collector Car Auction,2004,mercedes benz,1988,560 sl roadster,18190
The Florida Collector Car Auction,2004,bmw,1967,2000 cs coupe,13375
The Florida Collector Car Auction,2004,ferrari,1990,f 40 coupe,290000
The Florida Collector Car Auction,2004,mercedes benz,1957,190 sl roadster,41463
The Florida Collector Car Auction,2004,ferrari,1998,355 b,69550
The Florida Collector Car Auction,2004,mercedes benz,1958,220s cabriolet,53500
The Florida Collector Car Auction,2004,mercedes benz,1988,560 sl roadster,20063
The Florida Collector Car Auction,2004,bmw,1985,635 csi coupe,19046
The Florida Collector Car Auction,2004,mercedes benz,1956,300 sl gullwing,211325
