Vente,VenteYear,marque,annee,modele,Price
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1960,220se cabriolet,85800
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1956,"220s sedan ""zippo""",19800
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1959,190sl roadster,39600
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1971,280sl roadster,30800
The Monterey Sports and Classic Car Auction,2005,porsche,1962,356b coupe,46200
The Monterey Sports and Classic Car Auction,2005,aston martin,1967,db6 coupe,52800
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1961,300d cabriolet,165000
The Monterey Sports and Classic Car Auction,2005,bmw,1939,327 roadster,88000
The Monterey Sports and Classic Car Auction,2005,porsche,1956,550 spyder replica,27500
The Monterey Sports and Classic Car Auction,2005,porsche,1981,911sc modified coupe,27500
The Monterey Sports and Classic Car Auction,2005,maserati,1958,tipo l/160/t4 motorcycle,9900
The Monterey Sports and Classic Car Auction,2005,ferrari,1953,125cc motorcycle,15400
The Monterey Sports and Classic Car Auction,2005,bmw,1966,r69s motorcycle,14300
The Monterey Sports and Classic Car Auction,2005,maserati,1962,3500 gt coupe,37400
The Monterey Sports and Classic Car Auction,2005,porsche,1970,911 t targa,23100
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1967,600 swb limousine,49500
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1955,300sl coupe,396000
The Monterey Sports and Classic Car Auction,2005,ferrari,1959,250 gt lwb california spyder,1320000
The Monterey Sports and Classic Car Auction,2005,ferrari,1974,365 gtb/4 daytona coupe,204600
The Monterey Sports and Classic Car Auction,2005,ferrari,1992,f40 gt berlinetta,726000
The Monterey Sports and Classic Car Auction,2005,ferrari,1959,"250 gt ""tour de france""",1457500
The Monterey Sports and Classic Car Auction,2005,porsche,1958,356 a speedster,132000
The Monterey Sports and Classic Car Auction,2005,alfa romeo,1932,tipo b p3 monoposto,2100000
The Monterey Sports and Classic Car Auction,2005,aston martin,1966,db6 coupe,84700
The Monterey Sports and Classic Car Auction,2005,aston martin,1977,v8 series 3 coupe,35750
The Monterey Sports and Classic Car Auction,2005,aston martin,1987,v8 volante,68750
The Monterey Sports and Classic Car Auction,2005,aston martin,1958,db2/4 mark iii coupe,82500
The Monterey Sports and Classic Car Auction,2005,aston martin,1968,db6 coupe,90750
The Monterey Sports and Classic Car Auction,2005,aston martin,1988,v8 volante,55000
The Monterey Sports and Classic Car Auction,2005,aston martin,2003,db ar1 roadster,198000
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1961,300sl roadster,357500
The Monterey Sports and Classic Car Auction,2005,ferrari,1973,365 gtc/4,82500
The Monterey Sports and Classic Car Auction,2005,porsche,1957,356 a speedster,143000
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1938,540k special roadster,1017500
The Monterey Sports and Classic Car Auction,2005,ferrari,1973,dino 246 gt,90000
The Monterey Sports and Classic Car Auction,2005,ferrari,1963,250 gt/l lusso speciale,313500
The Monterey Sports and Classic Car Auction,2005,ferrari,1970,512 s,1947000
The Monterey Sports and Classic Car Auction,2005,alfa romeo,1959,2000 spider,35750
The Monterey Sports and Classic Car Auction,2005,porsche,1981,"935/78 ""moby dick"" race car",412500
The Monterey Sports and Classic Car Auction,2005,ferrari,1965,275 gts,253000
The Monterey Sports and Classic Car Auction,2005,porsche,1971,917 spyder,863500
The Monterey Sports and Classic Car Auction,2005,ferrari,1951,340 america berlinetta,973500
The Monterey Sports and Classic Car Auction,2005,mercedes benz,1955,300s roadster,162250
The Monterey Sports and Classic Car Auction,2005,alfa romeo,1954,1900 c ss,209000
The Monterey Sports and Classic Car Auction,2005,porsche,1959,356 convertible d,71500
