Vente,VenteYear,marque,annee,modele,Price
The Petersen Automotive Museum Auction,2018,bmw,,tôles froissees by natale,2400
The Petersen Automotive Museum Auction,2018,mercedes,1985,by stanley wanlass 1985,10200
The Petersen Automotive Museum Auction,2018,porsche,1957,356 a 1600 speedster by reutter,357000
The Petersen Automotive Museum Auction,2018,ferrari,1972,365 gtb/4 daytona berlinetta by scaglietti,775000
The Petersen Automotive Museum Auction,2018,mercedes benz,1969,600 four door pullman,335000
The Petersen Automotive Museum Auction,2018,mercedes benz,1955,300 sl gullwing,1270000
The Petersen Automotive Museum Auction,2018,ferrari,1989,f40,1545000
The Petersen Automotive Museum Auction,2018,aston martin,2018,vanquish zagato villa d este,637500
The Petersen Automotive Museum Auction,2018,ferrari,2000,f2000 rear wing end plate,14400
The Petersen Automotive Museum Auction,2018,ferrari,,enzo 1:5 scale model,9000
The Petersen Automotive Museum Auction,2018,ferrari,1897,458 engine no. 189773 with stand,21600
The Petersen Automotive Museum Auction,2018,porsche,1986,944 turbo,39200
The Petersen Automotive Museum Auction,2018,ferrari,1992,512 tr,173600
The Petersen Automotive Museum Auction,2018,porsche,2005,carrera gt,775000
The Petersen Automotive Museum Auction,2018,porsche,1994,911 speedster,151200
The Petersen Automotive Museum Auction,2018,ferrari,1996,f355 spider,114800
The Petersen Automotive Museum Auction,2018,ferrari,2003,575m maranello,224000
The Petersen Automotive Museum Auction,2018,porsche,2015,918  weissach  spyder,1534000
The Petersen Automotive Museum Auction,2018,ferrari,2003,360 gt,335000
The Petersen Automotive Museum Auction,2018,mercedes benz,1969,280 sl  pagoda,64400
The Petersen Automotive Museum Auction,2018,porsche,1975,914 2.0,78400
The Petersen Automotive Museum Auction,2018,porsche,1976,935 gr. 5 turbo by kremer,173600
The Petersen Automotive Museum Auction,2018,ferrari,1965,330 gt 2+2 shooting brake by vignale,313000
The Petersen Automotive Museum Auction,2018,ferrari,1972,dino 246 gt by scaglietti,263200
The Petersen Automotive Museum Auction,2018,ferrari,1956,290 mm by scaglietti,22005000
