Vente,VenteYear,marque,annee,modele,Price
The Porsche 70th Anniversary Auction,2018,porsche,,racing poster prints by erich strenger,1440
The Porsche 70th Anniversary Auction,2018,porsche,1968,sebring 12 hour race framed poster 1968,1320
The Porsche 70th Anniversary Auction,2018,porsche,1963,weltmeisterschaft framed poster 1963,2280
The Porsche 70th Anniversary Auction,2018,porsche,,books,1920
The Porsche 70th Anniversary Auction,2018,porsche,,356 pre a service manual,2160
The Porsche 70th Anniversary Auction,2018,porsche,,356 a workshop manual supplement and spare parts catalogue,2760
The Porsche 70th Anniversary Auction,2018,porsche,,workshop technical schematics and cut away framed posters,4080
The Porsche 70th Anniversary Auction,2018,porsche,,356 b/c workshop manual and spare parts catalogues,2880
The Porsche 70th Anniversary Auction,2018,porsche,,356 c driver s manual,480
The Porsche 70th Anniversary Auction,2018,porsche,1980,service manuals 1980s,720
The Porsche 70th Anniversary Auction,2018,porsche,,924 turbo group 4 press release,450
The Porsche 70th Anniversary Auction,2018,porsche,1978,935 turbo operating instructions and parts catalogue german 1978,4800
The Porsche 70th Anniversary Auction,2018,porsche,,934 turbo rsr parts catalogue german,960
The Porsche 70th Anniversary Auction,2018,porsche,,356 sales literature,18000
The Porsche 70th Anniversary Auction,2018,porsche,1948,gmünd original brochure english 1948,3360
The Porsche 70th Anniversary Auction,2018,porsche,,718 spyder chassis diagram,1320
The Porsche 70th Anniversary Auction,2018,porsche,,rs 60 spyder spare parts list,2400
The Porsche 70th Anniversary Auction,2018,porsche,,rs 60 spyder driver s manual,11400
The Porsche 70th Anniversary Auction,2018,porsche,,911 sales literature,20400
The Porsche 70th Anniversary Auction,2018,porsche,1976,sieg martini racing posters 1976,1440
The Porsche 70th Anniversary Auction,2018,porsche,1960,racing posters 1960s,6000
The Porsche 70th Anniversary Auction,2018,porsche,1970,racing posters 1970s,4200
The Porsche 70th Anniversary Auction,2018,porsche,1980,racing posters 1980s,2400
The Porsche 70th Anniversary Auction,2018,porsche,1980,racing posters 1980s,3600
The Porsche 70th Anniversary Auction,2018,porsche,1980,racing posters 1980s,2880
The Porsche 70th Anniversary Auction,2018,porsche,,showroom posters,1320
The Porsche 70th Anniversary Auction,2018,porsche,1980,showroom posters late 1980s,900
The Porsche 70th Anniversary Auction,2018,porsche,1980,showroom posters mid 1980s,960
The Porsche 70th Anniversary Auction,2018,porsche,1980,944 racing posters late 1980s,780
The Porsche 70th Anniversary Auction,2018,porsche,1970,poster 1970,6000
The Porsche 70th Anniversary Auction,2018,porsche,1960,poster 1960,2760
The Porsche 70th Anniversary Auction,2018,porsche,,928 s4 billboard,1800
The Porsche 70th Anniversary Auction,2018,porsche,,911 polizei billboard,14400
The Porsche 70th Anniversary Auction,2018,porsche,1984,king & queen by howard shoemaker 1984,1020
The Porsche 70th Anniversary Auction,2018,porsche,1983,x ray by howard shoemaker 1983,600
The Porsche 70th Anniversary Auction,2018,porsche,1960,wins 1960 sebring by fred stout,840
The Porsche 70th Anniversary Auction,2018,porsche,,550 spyder carrera panamericana reproduction rally plaque signed,360
The Porsche 70th Anniversary Auction,2018,porsche,1955,550 spyder richard von frankenberg 1955 24 hours of le mans framed photograph,1020
The Porsche 70th Anniversary Auction,2018,porsche,,creation tableau by mecary,1140
The Porsche 70th Anniversary Auction,2018,porsche,1951,otto glöckler montlhery 1951 by larry braun 1985,24000
The Porsche 70th Anniversary Auction,2018,porsche,,356 pre a steering wheel,2400
The Porsche 70th Anniversary Auction,2018,porsche,,911 carrera rs 2.7 engine model by marushin scale: 1:8,6000
The Porsche 70th Anniversary Auction,2018,porsche,,genuine parts original porcelain sign,4800
The Porsche 70th Anniversary Auction,2018,porsche,1951,sales literature 1951 1967,6000
The Porsche 70th Anniversary Auction,2018,porsche,,writing desk by 3 gjb 17,30000
The Porsche 70th Anniversary Auction,2018,porsche,,racing helmet signed by prominent drivers,1800
The Porsche 70th Anniversary Auction,2018,porsche,,356 speedster junior children s car,9000
The Porsche 70th Anniversary Auction,2018,porsche,,550 spyder junior children s car,7800
The Porsche 70th Anniversary Auction,2018,porsche,,904 gts junior children s car,9600
The Porsche 70th Anniversary Auction,2018,porsche,,917 junior children s car,31200
The Porsche 70th Anniversary Auction,2018,porsche,1600,356 c 1600 engine no. 713072 1964,14400
The Porsche 70th Anniversary Auction,2018,porsche,9603,356 b carrera gt/gtl type 692/3a engine no. 96037 1960 61,300000
The Porsche 70th Anniversary Auction,2018,porsche,1956,356 a training chassis,112000
The Porsche 70th Anniversary Auction,2018,porsche,1984,944,29120
The Porsche 70th Anniversary Auction,2018,porsche,1994,911 carrera 4  wide body,117600
The Porsche 70th Anniversary Auction,2018,porsche,1994,928 gts,112000
The Porsche 70th Anniversary Auction,2018,porsche,1989,911 turbo coupe,196000
The Porsche 70th Anniversary Auction,2018,porsche,1969,911 e coupe by karmann,81200
The Porsche 70th Anniversary Auction,2018,porsche,1997,911 turbo s,434000
The Porsche 70th Anniversary Auction,2018,porsche,1971,914/6,145600
The Porsche 70th Anniversary Auction,2018,porsche,2006,911 carrera s club coupe,151200
The Porsche 70th Anniversary Auction,2018,porsche,1971,911 e targa,67200
The Porsche 70th Anniversary Auction,2018,porsche,1988,911 turbo  flat nose  coupe,307500
The Porsche 70th Anniversary Auction,2018,porsche,1958,356 a 1600  super  speedster by reutter,307500
The Porsche 70th Anniversary Auction,2018,porsche,1965,911,246400
The Porsche 70th Anniversary Auction,2018,porsche,1973,911 carrera rs 2.7 lightweight,1022500
The Porsche 70th Anniversary Auction,2018,porsche,1977,911 turbo carrera,151200
The Porsche 70th Anniversary Auction,2018,porsche,1993,911 rs america,162400
The Porsche 70th Anniversary Auction,2018,porsche,1980,935 k4,885000
The Porsche 70th Anniversary Auction,2018,porsche,1996,911 carrera rs,390000
The Porsche 70th Anniversary Auction,2018,porsche,1968,911 l coupe,114800
The Porsche 70th Anniversary Auction,2018,porsche,1996,911 carrera 4s,117600
The Porsche 70th Anniversary Auction,2018,porsche,2011,911 gt3 rs 4.0,566000
The Porsche 70th Anniversary Auction,2018,porsche,2015,918 spyder,1407500
The Porsche 70th Anniversary Auction,2018,porsche,2011,911 gt3 rs 3.8,196000
The Porsche 70th Anniversary Auction,2018,porsche,1963,356 b 1600  sunroof  coupe by reutter,117600
The Porsche 70th Anniversary Auction,2018,porsche,1994,911 speedster,190400
The Porsche 70th Anniversary Auction,2018,porsche,1991,911 turbo,210000
The Porsche 70th Anniversary Auction,2018,porsche,1985,959 prototype,1000000
The Porsche 70th Anniversary Auction,2018,porsche,1973,911 carrera rs 2.7 touring,698000
The Porsche 70th Anniversary Auction,2018,porsche,1994,911 turbo s x85  flat nose,560000
The Porsche 70th Anniversary Auction,2018,porsche,1969,911 e coupe,123200
The Porsche 70th Anniversary Auction,2018,porsche,2016,911 gt3 rs,215600
The Porsche 70th Anniversary Auction,2018,porsche,1985,959 paris dakar,5945000
The Porsche 70th Anniversary Auction,2018,porsche,1960,356 b super 90 coupe by reutter,190400
The Porsche 70th Anniversary Auction,2018,porsche,1989,911 turbo cabriolet,207200
The Porsche 70th Anniversary Auction,2018,porsche,2011,911 gt2 rs,538500
The Porsche 70th Anniversary Auction,2018,porsche,1970,911 s coupe,193200
The Porsche 70th Anniversary Auction,2018,porsche,1956,356 a 1600  super  speedster by reutter,494500
The Porsche 70th Anniversary Auction,2018,porsche,1970,914/6,95200
The Porsche 70th Anniversary Auction,2018,porsche,1973,911 carrera rs 2.7 prototype,1325000
The Porsche 70th Anniversary Auction,2018,porsche,1985,911 turbo  flat nose  coupe,246400
The Porsche 70th Anniversary Auction,2018,porsche,1967,911 s coupe,229600
The Porsche 70th Anniversary Auction,2018,porsche,2008,911 gt2,263200
The Porsche 70th Anniversary Auction,2018,porsche,1958,356 a speedster by reutter,280000
The Porsche 70th Anniversary Auction,2018,porsche,1968,911  soft window  targa,95200
The Porsche 70th Anniversary Auction,2018,porsche,1960,356 b super 90 cabriolet by reutter,168000
The Porsche 70th Anniversary Auction,2018,porsche,1996,911 gt2,643000
The Porsche 70th Anniversary Auction,2018,porsche,1994,911 turbo 3.6,184800
The Porsche 70th Anniversary Auction,2018,porsche,2005,911 turbo s cabriolet,112000
The Porsche 70th Anniversary Auction,2018,porsche,2018,"911 turbo classic series ""project gold""",3415000
The Porsche 70th Anniversary Auction,2018,porsche,1980,924,53760
The Porsche 70th Anniversary Auction,2018,porsche,1990,944 s2 cabriolet,29120
The Porsche 70th Anniversary Auction,2018,porsche,1979,928,57120
The Porsche 70th Anniversary Auction,2018,porsche,1959,diesel junior 108 k,51520
