Vente,VenteYear,marque,annee,modele,Price
The Sáragga Collection,2019,porsche,2003,911 turbo cabriolet,63250
The Sáragga Collection,2019,porsche,1970,914/6,69000
The Sáragga Collection,2019,bmw,1990,m3 convertible,64400
The Sáragga Collection,2019,porsche,1986,911 carrera 3.2 cabriolet,52900
The Sáragga Collection,2019,bmw,1973,2002 tii,39100
The Sáragga Collection,2019,ferrari,1986,328 gtb,86825
The Sáragga Collection,2019,porsche,1996,911 carrera 4s coupe,88550
The Sáragga Collection,2019,ferrari,1988,gts turbo,72450
The Sáragga Collection,2019,porsche,1988,911 turbo cabriolet,82800
The Sáragga Collection,2019,porsche,1964,356 c 1600 sc coupe by karmann,108100
The Sáragga Collection,2019,mercedes benz,1934,170 cabriolet c,46000
The Sáragga Collection,2019,mercedes benz,1969,280 sl,140300
The Sáragga Collection,2019,ferrari,2002,575m maranello,120750
The Sáragga Collection,2019,bmw,2001,z8,165600
The Sáragga Collection,2019,porsche,1971,911 e coupe,69000
The Sáragga Collection,2019,porsche,1977,911 carrera 3.0,63250
The Sáragga Collection,2019,maserati,1967,mistral 4.0 coupe,103500
The Sáragga Collection,2019,porsche,1960,356 b roadster by drauz,151800
The Sáragga Collection,2019,mercedes benz,1962,190 sl,143750
The Sáragga Collection,2019,ferrari,1993,512 tr,147200
The Sáragga Collection,2019,ferrari,2003,456m gta,74750
The Sáragga Collection,2019,alfa romeo,1960,2000 spider,80500
The Sáragga Collection,2019,alfa romeo,1970,giulia gt 1300 junior by bertone,34500
The Sáragga Collection,2019,aston martin,2008,db9 lm,103500
The Sáragga Collection,2019,porsche,2010,911 gt3 rs,174800
The Sáragga Collection,2019,porsche,1989,911 speedster,140300
The Sáragga Collection,2019,porsche,2005,911 turbo s cabriolet,69000
The Sáragga Collection,2019,mercedes benz,1966,600 sedan by chapron,342500
The Sáragga Collection,2019,porsche,1969,911 t coupe,79350
The Sáragga Collection,2019,porsche,1991,911 turbo coupe,115000
The Sáragga Collection,2019,porsche,1972,911 t coupe,79350
The Sáragga Collection,2019,aston martin,2017,v8 vantage amr,138000
The Sáragga Collection,2019,bmw,1939,327 coupe,90850
The Sáragga Collection,2019,porsche,1967,911 s coupe,157550
The Sáragga Collection,2019,porsche,1973,911 carrera rs 2.7 touring,602375
The Sáragga Collection,2019,porsche,1966,912,75900
The Sáragga Collection,2019,porsche,1992,911 carrera rs,241250
The Sáragga Collection,2019,porsche,1972,911 e targa,75900
The Sáragga Collection,2019,porsche,1998,911 carrera 4 cabriolet,74750
The Sáragga Collection,2019,maserati,1980,quattroporte iii,16100
The Sáragga Collection,2019,ferrari,2003,360 spider,77050
The Sáragga Collection,2019,porsche,1974,911 s 2.7 targa,71300
The Sáragga Collection,2019,mercedes benz,1952,300 sedan,34500
The Sáragga Collection,2019,mercedes benz,1962,300 d,46000
The Sáragga Collection,2019,mercedes benz,1972,450 sl,43700
