Vente,VenteYear,marque,annee,modele,Price
Toronto International Spring Classic Car Auction,2004,bmw,1966,r50/2 motorcycle,2943
Toronto International Spring Classic Car Auction,2004,bmw,1959,b26,3745
Toronto International Spring Classic Car Auction,2004,porsche,1969,911 e,10700
Toronto International Spring Classic Car Auction,2004,mercedes benz,1961,190 sl,26750
Toronto International Spring Classic Car Auction,2004,bmw,1995,325 ic,16371
Toronto International Spring Classic Car Auction,2004,bmw,1986,635 csi,5350
Toronto International Spring Classic Car Auction,2004,aston martin,1981,lagonda h.t.,14980
Toronto International Spring Classic Car Auction,2004,porsche,1987,911 turbo,35845
Toronto International Spring Classic Car Auction,2004,mercedes benz,1981,380 slc h.t.,2140
Toronto International Spring Classic Car Auction,2004,porsche,1987,928 s4,16157
Toronto International Spring Classic Car Auction,2004,mercedes benz,1994,e 320,11877
Toronto International Spring Classic Car Auction,2004,porsche,1992,968 convertible,30495
Toronto International Spring Classic Car Auction,2004,mercedes benz,1995,"sl600 ""v12"" roadster",67410
Toronto International Spring Classic Car Auction,2004,mercedes benz,1995,s 500,18190
Toronto International Spring Classic Car Auction,2004,mercedes benz,1998,cl 500,37183
Toronto International Spring Classic Car Auction,2004,maserati,1984,bi turbo h.t,4815
