Vente,VenteYear,marque,annee,modele,Price
Villa Erba,2015,bmw,1992,k1,10530
Villa Erba,2015,porsche,1973,911 s 2.4 targa,190400
Villa Erba,2015,ferrari,1985,288 gto,1904000
Villa Erba,2015,ferrari,1991,f40,1008000
Villa Erba,2015,ferrari,2002,enzo,1260000
Villa Erba,2015,ferrari,1996,f50,1232000
Villa Erba,2015,ferrari,2015,458 speciale a,515200
Villa Erba,2015,ferrari,1952,212 export barchetta by touring,6720000
Villa Erba,2015,porsche,1973,911 carrera rs 2.7 sport lightweight,1008000
Villa Erba,2015,ferrari,1973,365 gtb/4 daytona berlinetta by scaglietti,728000
Villa Erba,2015,ferrari,2006,575 superamerica,414400
Villa Erba,2015,ferrari,1963,250 gt/l berlinetta  lusso  by scaglietti,2016000
Villa Erba,2015,alfa romeo,1949,6c 2500 ss villa d’este coupe by touring,784000
Villa Erba,2015,mercedes benz,1959,190 sl,201600
Villa Erba,2015,mercedes benz,1958,300 sl roadster,952000
Villa Erba,2015,ferrari,1965,330 gt 2+2 by pininfarina,246400
Villa Erba,2015,ferrari,1960,250 gt cabriolet series ii by pinin farina,1568000
Villa Erba,2015,ferrari,2007,599 gtb hgte,358400
Villa Erba,2015,ferrari,1984,512 bbi,324800
Villa Erba,2015,ferrari,1969,365 gt 2+2 by pininfarina,246400
