Vente,VenteYear,marque,annee,modele,Price
Villa d'Este,2011,ferrari,1966,330 gtc by pininfarina,196000
Villa d'Este,2011,ferrari,1963,250 gt lusso berlinetta,504000
Villa d'Este,2011,mercedes benz,1937,540k cabriolet a by factory sindelfingen,1400000
Villa d'Este,2011,ferrari,1955,375 mm berlinetta by pinin farina,3360000
Villa d'Este,2011,ferrari,1959,250 gt lwb california spyder,2520000
Villa d'Este,2011,aston martin,1954,db2/4 competition spider by bertone,672000
Villa d'Este,2011,alfa romeo,1964,tz coupe,627200
Villa d'Este,2011,bmw,1957,507,728000
Villa d'Este,2011,ferrari,1967,275 gtb/4 berlinetta,660000
Villa d'Este,2011,ferrari,1957,500 trc spider by scaglietti,2800000
