Vente,VenteYear,marque,annee,modele,Price
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,340 375 & 410,173
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,’s,633
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,4.1 liter and 225 s,322
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,s,322
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,355 456 550 and 575’s,518
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,355’s and 333’s,322
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,enzo fx 360 modena and barchetta,322
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,collection,115
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,steering wheel,184
Vintage Motor Cars At Meadow Brook Hall,2006,porsche,,racing and civilian cars,748
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,– the f40 340 330 85 tr 512 m 365 512 s 250 500 348…,1725
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1961,250 swb,575
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,288 gto evoluzione,403
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,275 gtb4 nart spyder,575
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1954,375 plus 1954 le mans winning car,518
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1960,250 california spider,1265
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1961,250 gt sperimentale,690
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1950,"166 mm
barchetta lusso",5750
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,250 swb,3680
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,166mm rolling chassis,4025
Vintage Motor Cars At Meadow Brook Hall,2006,maserati,,tipo 61 birdcage,368
Vintage Motor Cars At Meadow Brook Hall,2006,alfa romeo,,the bat 5,690
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,"250 gt 
competition facia",920
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1958,250 tr,518
Vintage Motor Cars At Meadow Brook Hall,2006,aston martin,,db3s.,690
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,375 v12 lampredi engine,2875
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,330 p4,748
Vintage Motor Cars At Meadow Brook Hall,2006,porsche,,917k,575
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1994,333 sp,748
Vintage Motor Cars At Meadow Brook Hall,2006,mercedes,1931,ssk ‘black prince’,1265
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,f40,748
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,250 swb california,460
Vintage Motor Cars At Meadow Brook Hall,2006,bmw,,z–8,403
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,,275 gtb4 nart spyder,16100
Vintage Motor Cars At Meadow Brook Hall,2006,porsche,1965,356c cabriolet,51700
Vintage Motor Cars At Meadow Brook Hall,2006,ferrari,1967,330 gt 2+2 series ii,88000
