Vente,VenteYear,marque,annee,modele,Price
Vintage Motor Cars at Amelia Island,2004,mercedes benz,1958,190 sl roadster,44000
Vintage Motor Cars at Amelia Island,2004,ferrari,1959,250gt coupe,66000
Vintage Motor Cars at Amelia Island,2004,mercedes benz,1958,220s cabriolet,36300
Vintage Motor Cars at Amelia Island,2004,maserati,1967,4.7 ghibli coupe,37400
Vintage Motor Cars at Amelia Island,2004,ferrari,,testa rossa original sculpture by j. paul nesse,9200
Vintage Motor Cars at Amelia Island,2004,porsche,,917 k original sculpture by j. paul nesse,14950
Vintage Motor Cars at Amelia Island,2004,ferrari,,gto original sculpture by j. paul nesse,10925
Vintage Motor Cars at Amelia Island,2004,mercedes benz,1970,600 swb limousine,46200
Vintage Motor Cars at Amelia Island,2004,mercedes benz,2002,cl55 amg coupe,70400
Vintage Motor Cars at Amelia Island,2004,aston martin,1976,series iii v8 coupe,66000
Vintage Motor Cars at Amelia Island,2004,ferrari,2001,360 f1 spider,203500
Vintage Motor Cars at Amelia Island,2004,ferrari,1967,330 gtc coupe,77000
Vintage Motor Cars at Amelia Island,2004,ferrari,1962,250 gte coupe,37400
Vintage Motor Cars at Amelia Island,2004,ferrari,1961,tr59 recreation,128700
Vintage Motor Cars at Amelia Island,2004,ferrari,1967,275gtb/4 alloy berlinetta,682000
Vintage Motor Cars at Amelia Island,2004,mercedes benz,1937,540k cabriolet a,852500
Vintage Motor Cars at Amelia Island,2004,mercedes benz,1957,220s cabriolet,66000
Vintage Motor Cars at Amelia Island,2004,porsche,1964,356c cabriolet,36300
Vintage Motor Cars at Amelia Island,2004,ferrari,1972,365 gtc/4,42900
Vintage Motor Cars at Amelia Island,2004,ferrari,1973,246 gts dino,73700
Vintage Motor Cars at Amelia Island,2004,ferrari,1980,308 gtsi,33000
Vintage Motor Cars at Amelia Island,2004,aston martin,1956,db 2/4 drophead coupe,79200
Vintage Motor Cars at Amelia Island,2004,mercedes benz,1970,600 limousine,48400
Vintage Motor Cars at Amelia Island,2004,porsche,1965,911 fia rally coupe,35200
Vintage Motor Cars at Amelia Island,2004,aston martin,1966,db6 vantage coupe,66000
