Vente,VenteYear,marque,annee,modele,Price
Vintage Motor Cars at Meadow Brook Hall,2003,ferrari,,watch sapphire crystal blue dial with luminous hands and numbers…,2070
Vintage Motor Cars at Meadow Brook Hall,2003,ferrari,,watch sapphire crystal black dial with luminous hands and numbers push…,2185
Vintage Motor Cars at Meadow Brook Hall,2003,ferrari,,watch sapphire crystal white dial gold markers and hands push…,2875
Vintage Motor Cars at Meadow Brook Hall,2003,ferrari,,watch charcoal dial luminous hands and numbers pushbutton chrono date…,2703
Vintage Motor Cars at Meadow Brook Hall,2003,porsche,1965,356c coupe,15950
Vintage Motor Cars at Meadow Brook Hall,2003,ferrari,1974,dino 246gts,67100
Vintage Motor Cars at Meadow Brook Hall,2003,mercedes benz,1959,220s coupe,24200
Vintage Motor Cars at Meadow Brook Hall,2003,mercedes benz,1962,220se cabriolet,45100
Vintage Motor Cars at Meadow Brook Hall,2003,mercedes benz,1952,220a cabriolet,60500
Vintage Motor Cars at Meadow Brook Hall,2003,mercedes benz,1958,220s cabriolet,56100
Vintage Motor Cars at Meadow Brook Hall,2003,ferrari,1983,bb512i berlinetta boxer,71500
