Vente,VenteYear,marque,annee,modele,Price
Vintage Motor Cars in Arizona,2005,alfa romeo,1982,spider veloce 2000,6600
Vintage Motor Cars in Arizona,2005,aston martin,1975,v8 coupe,36300
Vintage Motor Cars in Arizona,2005,maserati,1973,bora,37400
Vintage Motor Cars in Arizona,2005,ferrari,1983,308gts quattrovalvole,30250
Vintage Motor Cars in Arizona,2005,mercedes benz,1960,300sl roadster,265000
Vintage Motor Cars in Arizona,2005,mercedes benz,1957,300sc roadster,310000
Vintage Motor Cars in Arizona,2005,ferrari,1953,250 mm competition berlinetta,1430000
Vintage Motor Cars in Arizona,2005,ferrari,1972,365 gtb/4 daytona coupe,157300
Vintage Motor Cars in Arizona,2005,mercedes benz,1956,300sl gullwing,283250
Vintage Motor Cars in Arizona,2005,aston martin,1962,"db4 gt ""zagato""",2695000
Vintage Motor Cars in Arizona,2005,mercedes benz,1960,300sl roadster,297000
Vintage Motor Cars in Arizona,2005,ferrari,1954,250 europa,385000
Vintage Motor Cars in Arizona,2005,aston martin,1968,db6,92400
Vintage Motor Cars in Arizona,2005,bmw,1957,507 roadster,346500
Vintage Motor Cars in Arizona,2005,aston martin,2003,db ar1 zagato roadster,242000
Vintage Motor Cars in Arizona,2005,ferrari,1955,375 america berlinetta,198000
Vintage Motor Cars in Arizona,2005,alfa romeo,1954,1900 ss lwb special,92400
Vintage Motor Cars in Arizona,2005,ferrari,1952,166/330 barchetta recreation,115500
Vintage Motor Cars in Arizona,2005,mercedes benz,1962,300d sedan,19000
